index,culture,table,metric_name,demo,_metric_value,std_value
0,brazil,homophily,cross_ratio,age,0.8169804811149103,0.10410578667620314
1,brazil,homophily,cross_ratio,gender,0.8393815763779857,0.02243858869617962
2,brazil,homophily,cross_ratio,political affiliation,0.2864684903132128,0.4807241817110414
3,brazil,homophily,cross_ratio,race/ethnicity,0.7217112139113832,0.0494697001229922
4,brazil,homophily,cross_ratio,religion,0.8659780693491544,0.08533907707864917
5,brazil,homophily,same_ratio,age,1.2990654971166349,0.2508869209817886
6,brazil,homophily,same_ratio,gender,1.1667652185360013,0.02329730340501841
7,brazil,homophily,same_ratio,political affiliation,1.7408380400075796,0.49912128017918445
8,brazil,homophily,same_ratio,race/ethnicity,1.3094763224606172,0.05501371824022392
9,brazil,homophily,same_ratio,religion,1.2606339949435912,0.1659598878765075
10,india,homophily,cross_ratio,age,0.8078306511116332,0.0755161038021075
11,india,homophily,cross_ratio,gender,0.842938601891387,0.05431178791349864
12,india,homophily,cross_ratio,political affiliation,0.29597691700194756,0.4668846999153104
13,india,homophily,cross_ratio,race/ethnicity,0.7444137843863952,0.11504029573860552
14,india,homophily,cross_ratio,religion,0.8606476845415211,0.08848452302165147
15,india,homophily,same_ratio,age,1.3466703108192994,0.1588774225681969
16,india,homophily,same_ratio,gender,1.1630720672542008,0.056390275637309834
17,india,homophily,same_ratio,political affiliation,1.7309657301011392,0.4847521676325353
18,india,homophily,same_ratio,race/ethnicity,1.2842294983978881,0.12793274267482863
19,india,homophily,same_ratio,religion,1.2710000557834358,0.1720768728954715
20,japan,homophily,cross_ratio,age,0.8035257780453424,0.1326419574108769
21,japan,homophily,cross_ratio,gender,0.8342995706581853,0.03652990060692725
22,japan,homophily,cross_ratio,political affiliation,0.2780736240523315,0.44768915918539065
23,japan,homophily,cross_ratio,race/ethnicity,0.7227689925694302,0.07884034613953575
24,japan,homophily,cross_ratio,religion,0.8694442101018479,0.07517184649015327
25,japan,homophily,same_ratio,age,1.3555154662356006,0.3593109500006652
26,japan,homophily,same_ratio,gender,1.1720417103316014,0.03792788349205099
27,japan,homophily,same_ratio,political affiliation,1.7495541740288605,0.46482202218250207
28,japan,homophily,same_ratio,race/ethnicity,1.3082999996426166,0.08767590217241486
29,japan,homophily,same_ratio,religion,1.2538933510278967,0.14618755723686053
30,us,homophily,cross_ratio,age,0.8152396486553833,0.12159872868920125
31,us,homophily,cross_ratio,gender,0.8705563420134131,0.04333269934489257
32,us,homophily,cross_ratio,political affiliation,0.2767390618945674,0.4526737166032234
33,us,homophily,cross_ratio,race/ethnicity,0.7325259713872342,0.11801596762252872
34,us,homophily,cross_ratio,religion,0.8725651850755122,0.09199669960144556
35,us,homophily,same_ratio,age,1.3443701376307569,0.35333633276080717
36,us,homophily,same_ratio,gender,1.1343974086250086,0.04499102228155233
37,us,homophily,same_ratio,political affiliation,1.7509398092808486,0.4699973363733966
38,us,homophily,same_ratio,race/ethnicity,1.2974495663021273,0.13124189502850186
39,us,homophily,same_ratio,religion,1.247823954985362,0.17890704321531126
0,brazil,network,avg_clustering_coef,,0.5525488118220968,0.09081957899117989
1,brazil,network,avg_shortest_path,,0.5633157251535471,0.0619834060247287
2,brazil,network,density,,0.17700680272108837,0.011105741680077554
3,brazil,network,diameter,,1.1647746591636081,0.2032765196334238
4,brazil,network,modularity,,0.3889526569488346,0.1704438947560907
5,brazil,network,prop_nodes_lcc,,0.7633333333333333,0.2400694344004112
6,brazil,network,radius,,0.6545509104657828,0.1674061244506968
7,india,network,avg_clustering_coef,,0.554809836866416,0.09885015177971233
8,india,network,avg_shortest_path,,0.6021516851675708,0.08015108354338457
9,india,network,density,,0.17850340136054413,0.010583425021547943
10,india,network,diameter,,1.2700635095140644,0.26050866232309017
11,india,network,modularity,,0.3809047441610809,0.16858125182486383
12,india,network,prop_nodes_lcc,,0.9166666666666666,0.12741009902410924
13,india,network,radius,,0.6563336063099765,0.1324946088560191
14,japan,network,avg_clustering_coef,,0.5735893036378544,0.06381412860981396
15,japan,network,avg_shortest_path,,0.607411824367484,0.07510718241532258
16,japan,network,density,,0.17700680272108837,0.010033955955097878
17,japan,network,diameter,,1.3101225095044033,0.13937165036652635
18,japan,network,modularity,,0.3922735330718213,0.1647168425341628
19,japan,network,prop_nodes_lcc,,0.8433333333333334,0.13576941236277534
20,japan,network,radius,,0.7232422642272681,0.10712660806686371
21,us,network,avg_clustering_coef,,0.5541637786604628,0.09470697299347301
22,us,network,avg_shortest_path,,0.6080155725765812,0.1430915377181309
23,us,network,density,,0.17782312925170063,0.009184429296183764
24,us,network,diameter,,1.215309887295589,0.27780333518587974
25,us,network,modularity,,0.3865991426927485,0.17291683352495876
26,us,network,prop_nodes_lcc,,0.8333333333333334,0.28867513459481287
27,us,network,radius,,0.6758359531228609,0.19738946331700033
