condition,seed,graph_exists,png_exists,png_ok,homophily_ok,network_metrics_ok,metrics_have_required_scalars,cost_stats_ok,node_count,edge_count,node_count_ok,edge_count_ok
sequential_gpt-4.1-nano_n5_culture_us,0,True,True,True,True,True,True,True,50,209,True,True
sequential_gpt-4.1-nano_n5_culture_us,1,True,True,True,True,True,True,True,50,252,True,True
sequential_gpt-4.1-mini_n5_culture_us,0,True,True,True,True,True,True,True,50,190,True,True
sequential_gpt-4.1-mini_n5_culture_us,1,True,True,True,True,True,True,True,50,238,True,True
sequential_gpt-4.1_n5_culture_us,0,True,True,True,True,True,True,True,50,191,True,True
sequential_gpt-4.1_n5_culture_us,1,True,True,True,True,True,True,True,50,227,True,True
sequential_gpt-4.1-nano_n5_culture_india,0,True,True,True,True,True,True,True,50,209,True,True
sequential_gpt-4.1-nano_n5_culture_india,1,True,True,True,True,True,True,True,50,258,True,True
sequential_gpt-4.1-mini_n5_culture_india,0,True,True,True,True,True,True,True,50,190,True,True
sequential_gpt-4.1-mini_n5_culture_india,1,True,True,True,True,True,True,True,50,236,True,True
sequential_gpt-4.1_n5_culture_india,0,True,True,True,True,True,True,True,50,189,True,True
sequential_gpt-4.1_n5_culture_india,1,True,True,True,True,True,True,True,50,230,True,True
sequential_gpt-4.1-nano_n5_culture_japan,0,True,True,True,True,True,True,True,50,206,True,True
sequential_gpt-4.1-nano_n5_culture_japan,1,True,True,True,True,True,True,True,50,256,True,True
sequential_gpt-4.1-mini_n5_culture_japan,0,True,True,True,True,True,True,True,50,188,True,True
sequential_gpt-4.1-mini_n5_culture_japan,1,True,True,True,True,True,True,True,50,233,True,True
sequential_gpt-4.1_n5_culture_japan,0,True,True,True,True,True,True,True,50,189,True,True
sequential_gpt-4.1_n5_culture_japan,1,True,True,True,True,True,True,True,50,229,True,True
sequential_gpt-4.1-nano_n5_culture_brazil,0,True,True,True,True,True,True,True,50,207,True,True
sequential_gpt-4.1-nano_n5_culture_brazil,1,True,True,True,True,True,True,True,50,258,True,True
sequential_gpt-4.1-mini_n5_culture_brazil,0,True,True,True,True,True,True,True,50,186,True,True
sequential_gpt-4.1-mini_n5_culture_brazil,1,True,True,True,True,True,True,True,50,230,True,True
sequential_gpt-4.1_n5_culture_brazil,0,True,True,True,True,True,True,True,50,189,True,True
sequential_gpt-4.1_n5_culture_brazil,1,True,True,True,True,True,True,True,50,231,True,True
