graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.7095163974021792,global_gpt-4.1-mini_culture_us,same_ratio
0.0,age,1.765325351956546,global_gpt-4.1-mini_culture_us,same_ratio
0.0,race/ethnicity,1.839543937708565,global_gpt-4.1-mini_culture_us,same_ratio
0.0,religion,1.8523185483870968,global_gpt-4.1-mini_culture_us,same_ratio
0.0,political affiliation,1.9396436047447803,global_gpt-4.1-mini_culture_us,same_ratio
0.0,gender,0.3166356492969396,global_gpt-4.1-mini_culture_us,cross_ratio
0.0,age,0.6003815734768078,global_gpt-4.1-mini_culture_us,cross_ratio
0.0,race/ethnicity,0.24506126531632907,global_gpt-4.1-mini_culture_us,cross_ratio
0.0,religion,0.5617249491606523,global_gpt-4.1-mini_culture_us,cross_ratio
0.0,political affiliation,0.09499069478908188,global_gpt-4.1-mini_culture_us,cross_ratio
1.0,gender,1.55461236921515,global_gpt-4.1-mini_culture_us,same_ratio
1.0,age,1.8550876579882347,global_gpt-4.1-mini_culture_us,same_ratio
1.0,race/ethnicity,1.9330800701344242,global_gpt-4.1-mini_culture_us,same_ratio
1.0,religion,1.5971316818774446,global_gpt-4.1-mini_culture_us,same_ratio
1.0,political affiliation,1.7964409599819509,global_gpt-4.1-mini_culture_us,same_ratio
1.0,gender,0.46583007388092135,global_gpt-4.1-mini_culture_us,cross_ratio
1.0,age,0.5961637122629938,global_gpt-4.1-mini_culture_us,cross_ratio
1.0,race/ethnicity,0.16095125476284325,global_gpt-4.1-mini_culture_us,cross_ratio
1.0,religion,0.6929458842261842,global_gpt-4.1-mini_culture_us,cross_ratio
1.0,political affiliation,0.23291503694046067,global_gpt-4.1-mini_culture_us,cross_ratio
