graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.1040626733222407,global_gpt-4.1-nano_culture_japan,same_ratio
0.0,age,1.052405498281787,global_gpt-4.1-nano_culture_japan,same_ratio
0.0,race/ethnicity,1.4080459770114941,global_gpt-4.1-nano_culture_japan,same_ratio
0.0,religion,1.226963141025641,global_gpt-4.1-nano_culture_japan,same_ratio
0.0,political affiliation,1.2739184692179701,global_gpt-4.1-nano_culture_japan,same_ratio
0.0,gender,0.8997729700854701,global_gpt-4.1-nano_culture_japan,cross_ratio
0.0,age,0.7687494495170429,global_gpt-4.1-nano_culture_japan,cross_ratio
0.0,race/ethnicity,0.6330749354005167,global_gpt-4.1-nano_culture_japan,cross_ratio
0.0,religion,0.8832921302018953,global_gpt-4.1-nano_culture_japan,cross_ratio
0.0,political affiliation,0.7361778846153846,global_gpt-4.1-nano_culture_japan,cross_ratio
1.0,gender,1.070091514143095,global_gpt-4.1-nano_culture_japan,same_ratio
1.0,age,1.4733676975945016,global_gpt-4.1-nano_culture_japan,same_ratio
1.0,race/ethnicity,1.3200431034482758,global_gpt-4.1-nano_culture_japan,same_ratio
1.0,religion,0.95703125,global_gpt-4.1-nano_culture_japan,same_ratio
1.0,political affiliation,0.9172212978369385,global_gpt-4.1-nano_culture_japan,same_ratio
1.0,gender,0.9324919871794871,global_gpt-4.1-nano_culture_japan,cross_ratio
1.0,age,0.8712493761193154,global_gpt-4.1-nano_culture_japan,cross_ratio
1.0,race/ethnicity,0.7122093023255814,global_gpt-4.1-nano_culture_japan,cross_ratio
1.0,religion,1.0220951792336217,global_gpt-4.1-nano_culture_japan,cross_ratio
1.0,political affiliation,1.079727564102564,global_gpt-4.1-nano_culture_japan,cross_ratio
