graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.3668395810903395,global_gpt-4.1_culture_us,same_ratio
0.0,age,2.5257731958762886,global_gpt-4.1_culture_us,same_ratio
0.0,race/ethnicity,1.5654158215010143,global_gpt-4.1_culture_us,same_ratio
0.0,religion,1.6628959276018098,global_gpt-4.1_culture_us,same_ratio
0.0,political affiliation,1.966330625428208,global_gpt-4.1_culture_us,same_ratio
0.0,gender,0.6466817496229261,global_gpt-4.1_culture_us,cross_ratio
0.0,age,0.4176158000265959,global_gpt-4.1_culture_us,cross_ratio
0.0,race/ethnicity,0.4915640674874602,global_gpt-4.1_culture_us,cross_ratio
0.0,religion,0.6591289173271286,global_gpt-4.1_culture_us,cross_ratio
0.0,political affiliation,0.06928733031674209,global_gpt-4.1_culture_us,cross_ratio
1.0,gender,1.4335082554716498,global_gpt-4.1_culture_us,same_ratio
1.0,age,3.0993920169177906,global_gpt-4.1_culture_us,same_ratio
1.0,race/ethnicity,1.5086206896551724,global_gpt-4.1_culture_us,same_ratio
1.0,religion,1.6826923076923075,global_gpt-4.1_culture_us,same_ratio
1.0,political affiliation,1.8366824523230514,global_gpt-4.1_culture_us,same_ratio
1.0,gender,0.5824704142011834,global_gpt-4.1_culture_us,cross_ratio
1.0,age,0.3134082968791286,global_gpt-4.1_culture_us,cross_ratio
1.0,race/ethnicity,0.5426356589147286,global_gpt-4.1_culture_us,cross_ratio
1.0,religion,0.6489493201483312,global_gpt-4.1_culture_us,cross_ratio
1.0,political affiliation,0.1941568047337278,global_gpt-4.1_culture_us,cross_ratio
