graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.4111096889799053,global_gpt-4.1_culture_us_lang_english,same_ratio
0.0,age,2.266719534760772,global_gpt-4.1_culture_us_lang_english,same_ratio
0.0,race/ethnicity,1.6246684350132627,global_gpt-4.1_culture_us_lang_english,same_ratio
0.0,religion,1.540310650887574,global_gpt-4.1_culture_us_lang_english,same_ratio
0.0,political affiliation,2.00691155766031,global_gpt-4.1_culture_us_lang_english,same_ratio
0.0,gender,0.604043392504931,global_gpt-4.1_culture_us_lang_english,cross_ratio
0.0,age,0.45924393565390603,global_gpt-4.1_culture_us_lang_english,cross_ratio
0.0,race/ethnicity,0.4382826475849732,global_gpt-4.1_culture_us_lang_english,cross_ratio
0.0,religion,0.7221641152419892,global_gpt-4.1_culture_us_lang_english,cross_ratio
0.0,political affiliation,0.03020216962524655,global_gpt-4.1_culture_us_lang_english,cross_ratio
1.0,gender,1.438778506410884,global_gpt-4.1_culture_us_lang_english,same_ratio
1.0,age,2.3111650158345127,global_gpt-4.1_culture_us_lang_english,same_ratio
1.0,race/ethnicity,1.6151115618661256,global_gpt-4.1_culture_us_lang_english,same_ratio
1.0,religion,1.4146163273001509,global_gpt-4.1_culture_us_lang_english,same_ratio
1.0,political affiliation,1.8584222374473915,global_gpt-4.1_culture_us_lang_english,same_ratio
1.0,gender,0.5773944193061841,global_gpt-4.1_culture_us_lang_english,cross_ratio
1.0,age,0.4470929031017592,global_gpt-4.1_culture_us_lang_english,cross_ratio
1.0,race/ethnicity,0.4468764249886001,global_gpt-4.1_culture_us_lang_english,cross_ratio
1.0,religion,0.7867980319445455,global_gpt-4.1_culture_us_lang_english,cross_ratio
1.0,political affiliation,0.17321832579185523,global_gpt-4.1_culture_us_lang_english,cross_ratio
