graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.1526530612244898,iterative_gpt-4.1-mini_n5_culture_brazil,
0.0,avg_clustering_coef,0.6094290807231986,iterative_gpt-4.1-mini_n5_culture_brazil,
0.0,prop_nodes_lcc,0.42,iterative_gpt-4.1-mini_n5_culture_brazil,
0.0,radius,0.6569174775061022,iterative_gpt-4.1-mini_n5_culture_brazil,
0.0,diameter,0.9853762162591532,iterative_gpt-4.1-mini_n5_culture_brazil,
0.0,avg_shortest_path,0.5458671420229277,iterative_gpt-4.1-mini_n5_culture_brazil,
0.0,modularity,0.5321856501472733,iterative_gpt-4.1-mini_n5_culture_brazil,
1.0,density,0.19755102040816327,iterative_gpt-4.1-mini_n5_culture_brazil,
1.0,avg_clustering_coef,0.718538264624952,iterative_gpt-4.1-mini_n5_culture_brazil,
1.0,prop_nodes_lcc,0.48,iterative_gpt-4.1-mini_n5_culture_brazil,
1.0,radius,0.6293159608882497,iterative_gpt-4.1-mini_n5_culture_brazil,
1.0,diameter,0.9439739413323746,iterative_gpt-4.1-mini_n5_culture_brazil,
1.0,avg_shortest_path,0.47996742669194403,iterative_gpt-4.1-mini_n5_culture_brazil,
1.0,modularity,0.47691414520866066,iterative_gpt-4.1-mini_n5_culture_brazil,
0.0,degree_centrality,0.26530612244897955,iterative_gpt-4.1-mini_n5_culture_brazil,28
0.0,degree_centrality,0.26530612244897955,iterative_gpt-4.1-mini_n5_culture_brazil,5
0.0,degree_centrality,0.24489795918367346,iterative_gpt-4.1-mini_n5_culture_brazil,34
0.0,degree_centrality,0.18367346938775508,iterative_gpt-4.1-mini_n5_culture_brazil,46
0.0,degree_centrality,0.22448979591836732,iterative_gpt-4.1-mini_n5_culture_brazil,22
0.0,degree_centrality,0.26530612244897955,iterative_gpt-4.1-mini_n5_culture_brazil,15
0.0,degree_centrality,0.18367346938775508,iterative_gpt-4.1-mini_n5_culture_brazil,26
0.0,degree_centrality,0.26530612244897955,iterative_gpt-4.1-mini_n5_culture_brazil,11
0.0,degree_centrality,0.3061224489795918,iterative_gpt-4.1-mini_n5_culture_brazil,7
0.0,degree_centrality,0.22448979591836732,iterative_gpt-4.1-mini_n5_culture_brazil,37
0.0,degree_centrality,0.14285714285714285,iterative_gpt-4.1-mini_n5_culture_brazil,32
0.0,degree_centrality,0.18367346938775508,iterative_gpt-4.1-mini_n5_culture_brazil,44
0.0,degree_centrality,0.061224489795918366,iterative_gpt-4.1-mini_n5_culture_brazil,49
