graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0086282312983517,iterative_gpt-4.1-mini_n5_culture_india,same_ratio
0.0,age,1.5189357707159812,iterative_gpt-4.1-mini_n5_culture_india,same_ratio
0.0,race/ethnicity,1.3608691788126557,iterative_gpt-4.1-mini_n5_culture_india,same_ratio
0.0,religion,1.5330714710547184,iterative_gpt-4.1-mini_n5_culture_india,same_ratio
0.0,political affiliation,2.038269550748752,iterative_gpt-4.1-mini_n5_culture_india,same_ratio
0.0,gender,0.9916897964578376,iterative_gpt-4.1-mini_n5_culture_india,cross_ratio
0.0,age,0.6520026078136951,iterative_gpt-4.1-mini_n5_culture_india,cross_ratio
0.0,race/ethnicity,0.6754974826180773,iterative_gpt-4.1-mini_n5_culture_india,cross_ratio
0.0,religion,0.7258866106813808,iterative_gpt-4.1-mini_n5_culture_india,cross_ratio
0.0,political affiliation,0.0,iterative_gpt-4.1-mini_n5_culture_india,cross_ratio
1.0,gender,1.068447748376362,iterative_gpt-4.1-mini_n5_culture_india,same_ratio
1.0,age,1.510711118501275,iterative_gpt-4.1-mini_n5_culture_india,same_ratio
1.0,race/ethnicity,1.337075917686318,iterative_gpt-4.1-mini_n5_culture_india,same_ratio
1.0,religion,1.412986584987593,iterative_gpt-4.1-mini_n5_culture_india,same_ratio
1.0,political affiliation,2.038269550748752,iterative_gpt-4.1-mini_n5_culture_india,same_ratio
1.0,gender,0.9340751654259719,iterative_gpt-4.1-mini_n5_culture_india,cross_ratio
1.0,age,0.6871033563123466,iterative_gpt-4.1-mini_n5_culture_india,cross_ratio
1.0,race/ethnicity,0.6968929732433109,iterative_gpt-4.1-mini_n5_culture_india,cross_ratio
1.0,religion,0.7876360700187407,iterative_gpt-4.1-mini_n5_culture_india,cross_ratio
1.0,political affiliation,0.0,iterative_gpt-4.1-mini_n5_culture_india,cross_ratio
