graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0244705595386396,iterative_gpt-4.1-mini_n5_culture_japan,same_ratio
0.0,age,1.5868732120688727,iterative_gpt-4.1-mini_n5_culture_japan,same_ratio
0.0,race/ethnicity,1.3601281819823072,iterative_gpt-4.1-mini_n5_culture_japan,same_ratio
0.0,religion,1.4800644381796213,iterative_gpt-4.1-mini_n5_culture_japan,same_ratio
0.0,political affiliation,2.038269550748752,iterative_gpt-4.1-mini_n5_culture_japan,same_ratio
0.0,gender,0.9764314001879447,iterative_gpt-4.1-mini_n5_culture_japan,cross_ratio
0.0,age,0.6424722137723036,iterative_gpt-4.1-mini_n5_culture_japan,cross_ratio
0.0,race/ethnicity,0.676163805349243,iterative_gpt-4.1-mini_n5_culture_japan,cross_ratio
0.0,religion,0.7531436263501576,iterative_gpt-4.1-mini_n5_culture_japan,cross_ratio
0.0,political affiliation,0.0,iterative_gpt-4.1-mini_n5_culture_japan,cross_ratio
1.0,gender,1.031219377453914,iterative_gpt-4.1-mini_n5_culture_japan,same_ratio
1.0,age,1.5474104559716393,iterative_gpt-4.1-mini_n5_culture_japan,same_ratio
1.0,race/ethnicity,1.2856071964017992,iterative_gpt-4.1-mini_n5_culture_japan,same_ratio
1.0,religion,1.3850619489206446,iterative_gpt-4.1-mini_n5_culture_japan,same_ratio
1.0,political affiliation,2.038269550748752,iterative_gpt-4.1-mini_n5_culture_japan,same_ratio
1.0,gender,0.9699313367791628,iterative_gpt-4.1-mini_n5_culture_japan,cross_ratio
1.0,age,0.6675537831277597,iterative_gpt-4.1-mini_n5_culture_japan,cross_ratio
1.0,race/ethnicity,0.7431749241658241,iterative_gpt-4.1-mini_n5_culture_japan,cross_ratio
1.0,religion,0.8019953389975425,iterative_gpt-4.1-mini_n5_culture_japan,cross_ratio
1.0,political affiliation,0.0,iterative_gpt-4.1-mini_n5_culture_japan,cross_ratio
