graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0460960128181427,iterative_gpt-4.1-mini_n5_culture_us,same_ratio
0.0,age,1.6482117856688303,iterative_gpt-4.1-mini_n5_culture_us,same_ratio
0.0,race/ethnicity,1.3074712643678161,iterative_gpt-4.1-mini_n5_culture_us,same_ratio
0.0,religion,1.371082621082621,iterative_gpt-4.1-mini_n5_culture_us,same_ratio
0.0,political affiliation,2.038269550748752,iterative_gpt-4.1-mini_n5_culture_us,same_ratio
0.0,gender,0.9556030389363722,iterative_gpt-4.1-mini_n5_culture_us,cross_ratio
0.0,age,0.571251795525892,iterative_gpt-4.1-mini_n5_culture_us,cross_ratio
0.0,race/ethnicity,0.7235142118863049,iterative_gpt-4.1-mini_n5_culture_us,cross_ratio
0.0,religion,0.8091837201849563,iterative_gpt-4.1-mini_n5_culture_us,cross_ratio
0.0,political affiliation,0.0,iterative_gpt-4.1-mini_n5_culture_us,cross_ratio
1.0,gender,1.0150087236522125,iterative_gpt-4.1-mini_n5_culture_us,same_ratio
1.0,age,1.448655341764403,iterative_gpt-4.1-mini_n5_culture_us,same_ratio
1.0,race/ethnicity,1.3595909535110986,iterative_gpt-4.1-mini_n5_culture_us,same_ratio
1.0,religion,1.490238632824665,iterative_gpt-4.1-mini_n5_culture_us,same_ratio
1.0,political affiliation,2.038269550748752,iterative_gpt-4.1-mini_n5_culture_us,same_ratio
1.0,gender,0.9855444825080452,iterative_gpt-4.1-mini_n5_culture_us,cross_ratio
1.0,age,0.7012424838646834,iterative_gpt-4.1-mini_n5_culture_us,cross_ratio
1.0,race/ethnicity,0.6766468945171515,iterative_gpt-4.1-mini_n5_culture_us,cross_ratio
1.0,religion,0.7479119020332994,iterative_gpt-4.1-mini_n5_culture_us,cross_ratio
1.0,political affiliation,0.0,iterative_gpt-4.1-mini_n5_culture_us,cross_ratio
