graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.1730612244897959,iterative_gpt-4.1-nano_n5_culture_india,
0.0,avg_clustering_coef,0.581818761516167,iterative_gpt-4.1-nano_n5_culture_india,
0.0,prop_nodes_lcc,0.84,iterative_gpt-4.1-nano_n5_culture_india,
0.0,radius,0.535092772838108,iterative_gpt-4.1-nano_n5_culture_india,
0.0,diameter,0.8026391592571619,iterative_gpt-4.1-nano_n5_culture_india,
0.0,avg_shortest_path,0.48351007812781416,iterative_gpt-4.1-nano_n5_culture_india,
0.0,modularity,0.14846253114987537,iterative_gpt-4.1-nano_n5_culture_india,
1.0,density,0.21877551020408162,iterative_gpt-4.1-nano_n5_culture_india,
1.0,avg_clustering_coef,0.6684386020488524,iterative_gpt-4.1-nano_n5_culture_india,
1.0,prop_nodes_lcc,0.9,iterative_gpt-4.1-nano_n5_culture_india,
1.0,radius,0.5253946220277261,iterative_gpt-4.1-nano_n5_culture_india,
1.0,diameter,0.7880919330415892,iterative_gpt-4.1-nano_n5_culture_india,
1.0,avg_shortest_path,0.4667520909832173,iterative_gpt-4.1-nano_n5_culture_india,
1.0,modularity,0.13101470260637105,iterative_gpt-4.1-nano_n5_culture_india,
0.0,degree_centrality,0.22448979591836732,iterative_gpt-4.1-nano_n5_culture_india,28
0.0,degree_centrality,0.4081632653061224,iterative_gpt-4.1-nano_n5_culture_india,7
0.0,degree_centrality,0.4897959183673469,iterative_gpt-4.1-nano_n5_culture_india,37
0.0,degree_centrality,0.18367346938775508,iterative_gpt-4.1-nano_n5_culture_india,4
0.0,degree_centrality,0.4693877551020408,iterative_gpt-4.1-nano_n5_culture_india,48
0.0,degree_centrality,0.12244897959183673,iterative_gpt-4.1-nano_n5_culture_india,10
0.0,degree_centrality,0.42857142857142855,iterative_gpt-4.1-nano_n5_culture_india,12
0.0,degree_centrality,0.44897959183673464,iterative_gpt-4.1-nano_n5_culture_india,22
0.0,degree_centrality,0.24489795918367346,iterative_gpt-4.1-nano_n5_culture_india,26
0.0,degree_centrality,0.6530612244897959,iterative_gpt-4.1-nano_n5_culture_india,16
0.0,degree_centrality,0.7551020408163265,iterative_gpt-4.1-nano_n5_culture_india,11
0.0,degree_centrality,0.26530612244897955,iterative_gpt-4.1-nano_n5_culture_india,15
0.0,degree_centrality,0.22448979591836732,iterative_gpt-4.1-nano_n5_culture_india,5
0.0,degree_centrality,0.14285714285714285,iterative_gpt-4.1-nano_n5_culture_india,14
0.0,degree_centrality,0.24489795918367346,iterative_gpt-4.1-nano_n5_culture_india,34
0.0,degree_centrality,0.3061224489795918,iterative_gpt-4.1-nano_n5_culture_india,13
0.0,degree_centrality,0.2857142857142857,iterative_gpt-4.1-nano_n5_culture_india,46
0.0,degree_centrality,0.12244897959183673,iterative_gpt-4.1-nano_n5_culture_india,49
0.0,degree_centrality,0.1020408163265306,iterative_gpt-4.1-nano_n5_culture_india,1
0.0,degree_centrality,0.04081632653061224,iterative_gpt-4.1-nano_n5_culture_india,29
0.0,degree_centrality,0.12244897959183673,iterative_gpt-4.1-nano_n5_culture_india,32
0.0,degree_centrality,0.061224489795918366,iterative_gpt-4.1-nano_n5_culture_india,19
0.0,degree_centrality,0.22448979591836732,iterative_gpt-4.1-nano_n5_culture_india,42
0.0,degree_centrality,0.08163265306122448,iterative_gpt-4.1-nano_n5_culture_india,21
0.0,degree_centrality,0.12244897959183673,iterative_gpt-4.1-nano_n5_culture_india,0
0.0,degree_centrality,0.32653061224489793,iterative_gpt-4.1-nano_n5_culture_india,41
0.0,degree_centrality,0.12244897959183673,iterative_gpt-4.1-nano_n5_culture_india,47
0.0,degree_centrality,0.14285714285714285,iterative_gpt-4.1-nano_n5_culture_india,35
0.0,degree_centrality,0.02040816326530612,iterative_gpt-4.1-nano_n5_culture_india,23
0.0,degree_centrality,0.14285714285714285,iterative_gpt-4.1-nano_n5_culture_india,44
0.0,degree_centrality,0.061224489795918366,iterative_gpt-4.1-nano_n5_culture_india,24
0.0,degree_centrality,0.2040816326530612,iterative_gpt-4.1-nano_n5_culture_india,17
0.0,degree_centrality,0.061224489795918366,iterative_gpt-4.1-nano_n5_culture_india,45
0.0,degree_centrality,0.26530612244897955,iterative_gpt-4.1-nano_n5_culture_india,36
0.0,degree_centrality,0.061224489795918366,iterative_gpt-4.1-nano_n5_culture_india,25
0.0,degree_centrality,0.061224489795918366,iterative_gpt-4.1-nano_n5_culture_india,8
0.0,degree_centrality,0.14285714285714285,iterative_gpt-4.1-nano_n5_culture_india,2
0.0,degree_centrality,0.061224489795918366,iterative_gpt-4.1-nano_n5_culture_india,40
0.0,degree_centrality,0.04081632653061224,iterative_gpt-4.1-nano_n5_culture_india,9
0.0,degree_centrality,0.08163265306122448,iterative_gpt-4.1-nano_n5_culture_india,6
0.0,degree_centrality,0.061224489795918366,iterative_gpt-4.1-nano_n5_culture_india,33
0.0,degree_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,27
0.0,degree_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,38
0.0,degree_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,31
0.0,degree_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,18
0.0,degree_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,30
0.0,degree_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,20
0.0,degree_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,43
0.0,degree_centrality,0.02040816326530612,iterative_gpt-4.1-nano_n5_culture_india,39
0.0,degree_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,3
0.0,betweenness_centrality,0.002655963178922363,iterative_gpt-4.1-nano_n5_culture_india,28
0.0,betweenness_centrality,0.023539390503676212,iterative_gpt-4.1-nano_n5_culture_india,7
0.0,betweenness_centrality,0.043327774832876864,iterative_gpt-4.1-nano_n5_culture_india,37
0.0,betweenness_centrality,0.00028344671201814054,iterative_gpt-4.1-nano_n5_culture_india,4
0.0,betweenness_centrality,0.030502823423741797,iterative_gpt-4.1-nano_n5_culture_india,48
0.0,betweenness_centrality,0.0007079419069214987,iterative_gpt-4.1-nano_n5_culture_india,10
0.0,betweenness_centrality,0.06978844568130281,iterative_gpt-4.1-nano_n5_culture_india,12
0.0,betweenness_centrality,0.029803225402715187,iterative_gpt-4.1-nano_n5_culture_india,22
0.0,betweenness_centrality,0.00796834967753335,iterative_gpt-4.1-nano_n5_culture_india,26
0.0,betweenness_centrality,0.10923800075585793,iterative_gpt-4.1-nano_n5_culture_india,16
0.0,betweenness_centrality,0.2028806959291653,iterative_gpt-4.1-nano_n5_culture_india,11
0.0,betweenness_centrality,0.002939440566991587,iterative_gpt-4.1-nano_n5_culture_india,15
0.0,betweenness_centrality,0.004379987925906292,iterative_gpt-4.1-nano_n5_culture_india,5
0.0,betweenness_centrality,0.00015460729746444033,iterative_gpt-4.1-nano_n5_culture_india,14
0.0,betweenness_centrality,0.001596136290013841,iterative_gpt-4.1-nano_n5_culture_india,34
0.0,betweenness_centrality,0.011211421798156493,iterative_gpt-4.1-nano_n5_culture_india,13
0.0,betweenness_centrality,0.007669718320228523,iterative_gpt-4.1-nano_n5_culture_india,46
0.0,betweenness_centrality,0.000248015873015873,iterative_gpt-4.1-nano_n5_culture_india,49
0.0,betweenness_centrality,8.503401360544218e-05,iterative_gpt-4.1-nano_n5_culture_india,1
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,29
0.0,betweenness_centrality,0.001906179138321995,iterative_gpt-4.1-nano_n5_culture_india,32
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,19
0.0,betweenness_centrality,0.002328987150415722,iterative_gpt-4.1-nano_n5_culture_india,42
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,21
0.0,betweenness_centrality,7.086167800453514e-05,iterative_gpt-4.1-nano_n5_culture_india,0
0.0,betweenness_centrality,0.026935873555771515,iterative_gpt-4.1-nano_n5_culture_india,41
0.0,betweenness_centrality,0.00010629251700680272,iterative_gpt-4.1-nano_n5_culture_india,47
0.0,betweenness_centrality,0.0005905139833711261,iterative_gpt-4.1-nano_n5_culture_india,35
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,23
0.0,betweenness_centrality,0.00037792894935752074,iterative_gpt-4.1-nano_n5_culture_india,44
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,24
0.0,betweenness_centrality,0.004967127543658156,iterative_gpt-4.1-nano_n5_culture_india,17
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,45
0.0,betweenness_centrality,0.004397534627126464,iterative_gpt-4.1-nano_n5_culture_india,36
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,25
0.0,betweenness_centrality,0.00017006802721088437,iterative_gpt-4.1-nano_n5_culture_india,8
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,2
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,40
0.0,betweenness_centrality,0.00015460729746444033,iterative_gpt-4.1-nano_n5_culture_india,9
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,6
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,33
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,27
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,38
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,31
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,18
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,30
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,20
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,43
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,39
0.0,betweenness_centrality,0.0,iterative_gpt-4.1-nano_n5_culture_india,3
0.0,closeness_centrality,0.48318482322506473,iterative_gpt-4.1-nano_n5_culture_india,28
0.0,closeness_centrality,0.5533245556287031,iterative_gpt-4.1-nano_n5_culture_india,7
0.0,closeness_centrality,0.5914848698099929,iterative_gpt-4.1-nano_n5_culture_india,37
0.0,closeness_centrality,0.46994688286273417,iterative_gpt-4.1-nano_n5_culture_india,4
0.0,closeness_centrality,0.5814597025250778,iterative_gpt-4.1-nano_n5_culture_india,48
0.0,closeness_centrality,0.43425471454404546,iterative_gpt-4.1-nano_n5_culture_india,10
0.0,closeness_centrality,0.562395449983272,iterative_gpt-4.1-nano_n5_culture_india,12
0.0,closeness_centrality,0.5717687074829932,iterative_gpt-4.1-nano_n5_culture_india,22
0.0,closeness_centrality,0.48318482322506473,iterative_gpt-4.1-nano_n5_culture_india,26
0.0,closeness_centrality,0.6861224489795918,iterative_gpt-4.1-nano_n5_culture_india,16
0.0,closeness_centrality,0.7623582766439909,iterative_gpt-4.1-nano_n5_culture_india,11
0.0,closeness_centrality,0.4971901804199941,iterative_gpt-4.1-nano_n5_culture_india,15
0.0,closeness_centrality,0.48318482322506473,iterative_gpt-4.1-nano_n5_culture_india,5
0.0,closeness_centrality,0.45741496598639453,iterative_gpt-4.1-nano_n5_culture_india,14
0.0,closeness_centrality,0.49008746355685134,iterative_gpt-4.1-nano_n5_culture_india,34
0.0,closeness_centrality,0.512031678342979,iterative_gpt-4.1-nano_n5_culture_india,13
0.0,closeness_centrality,0.4971901804199941,iterative_gpt-4.1-nano_n5_culture_india,46
0.0,closeness_centrality,0.4513963480128894,iterative_gpt-4.1-nano_n5_culture_india,49
0.0,closeness_centrality,0.43425471454404546,iterative_gpt-4.1-nano_n5_culture_india,1
0.0,closeness_centrality,0.41836734693877553,iterative_gpt-4.1-nano_n5_culture_india,29
0.0,closeness_centrality,0.4288265306122449,iterative_gpt-4.1-nano_n5_culture_india,32
