graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0773710482529117,iterative_gpt-4.1-nano_n5_culture_japan,same_ratio
0.0,age,1.2027491408934707,iterative_gpt-4.1-nano_n5_culture_japan,same_ratio
0.0,race/ethnicity,1.156609195402299,iterative_gpt-4.1-nano_n5_culture_japan,same_ratio
0.0,religion,1.1778846153846154,iterative_gpt-4.1-nano_n5_culture_japan,same_ratio
0.0,political affiliation,1.1938435940099834,iterative_gpt-4.1-nano_n5_culture_japan,same_ratio
0.0,gender,0.9254807692307692,iterative_gpt-4.1-nano_n5_culture_japan,cross_ratio
0.0,age,0.8023594922834523,iterative_gpt-4.1-nano_n5_culture_japan,cross_ratio
0.0,race/ethnicity,0.8591731266149871,iterative_gpt-4.1-nano_n5_culture_japan,cross_ratio
0.0,religion,0.9085290482076637,iterative_gpt-4.1-nano_n5_culture_japan,cross_ratio
0.0,political affiliation,0.813301282051282,iterative_gpt-4.1-nano_n5_culture_japan,cross_ratio
1.0,gender,1.1417374551186619,iterative_gpt-4.1-nano_n5_culture_japan,same_ratio
1.0,age,1.1869234943027673,iterative_gpt-4.1-nano_n5_culture_japan,same_ratio
1.0,race/ethnicity,1.230716878402904,iterative_gpt-4.1-nano_n5_culture_japan,same_ratio
1.0,religion,0.929908906882591,iterative_gpt-4.1-nano_n5_culture_japan,same_ratio
1.0,political affiliation,1.1187494526666084,iterative_gpt-4.1-nano_n5_culture_japan,same_ratio
1.0,gender,0.8634868421052632,iterative_gpt-4.1-nano_n5_culture_japan,cross_ratio
1.0,age,0.8453100397274858,iterative_gpt-4.1-nano_n5_culture_japan,cross_ratio
1.0,race/ethnicity,0.7925336597307222,iterative_gpt-4.1-nano_n5_culture_japan,cross_ratio
1.0,religion,1.036041897078915,iterative_gpt-4.1-nano_n5_culture_japan,cross_ratio
1.0,political affiliation,0.8856275303643725,iterative_gpt-4.1-nano_n5_culture_japan,cross_ratio
