graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0286593994432953,iterative_gpt-4.1-nano_n5_culture_us,same_ratio
0.0,age,1.2786235025853485,iterative_gpt-4.1-nano_n5_culture_us,same_ratio
0.0,race/ethnicity,1.1645987753786657,iterative_gpt-4.1-nano_n5_culture_us,same_ratio
0.0,religion,1.1421077462257367,iterative_gpt-4.1-nano_n5_culture_us,same_ratio
0.0,political affiliation,1.323922745579797,iterative_gpt-4.1-nano_n5_culture_us,same_ratio
0.0,gender,0.9723969566259286,iterative_gpt-4.1-nano_n5_culture_us,cross_ratio
0.0,age,0.7705560968542694,iterative_gpt-4.1-nano_n5_culture_us,cross_ratio
0.0,race/ethnicity,0.8519886981091067,iterative_gpt-4.1-nano_n5_culture_us,cross_ratio
0.0,religion,0.9269260538567285,iterative_gpt-4.1-nano_n5_culture_us,cross_ratio
0.0,political affiliation,0.6880167145938174,iterative_gpt-4.1-nano_n5_culture_us,cross_ratio
1.0,gender,1.1503869812938035,iterative_gpt-4.1-nano_n5_culture_us,same_ratio
1.0,age,1.2118608768093306,iterative_gpt-4.1-nano_n5_culture_us,same_ratio
1.0,race/ethnicity,1.2320402298850575,iterative_gpt-4.1-nano_n5_culture_us,same_ratio
1.0,religion,1.0373415646853146,iterative_gpt-4.1-nano_n5_culture_us,same_ratio
1.0,political affiliation,1.1812698532748451,iterative_gpt-4.1-nano_n5_culture_us,same_ratio
1.0,gender,0.8551561285936286,iterative_gpt-4.1-nano_n5_culture_us,cross_ratio
1.0,age,0.8652007361124827,iterative_gpt-4.1-nano_n5_culture_us,cross_ratio
1.0,race/ethnicity,0.791343669250646,iterative_gpt-4.1-nano_n5_culture_us,cross_ratio
1.0,religion,0.9807984043150915,iterative_gpt-4.1-nano_n5_culture_us,cross_ratio
1.0,political affiliation,0.8254115675990676,iterative_gpt-4.1-nano_n5_culture_us,cross_ratio
