graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0909048299782051,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,same_ratio
0.0,age,1.2846264298275334,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,same_ratio
0.0,race/ethnicity,1.1502347417840375,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,same_ratio
0.0,religion,1.105994944023113,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,same_ratio
0.0,political affiliation,1.110043511205893,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,same_ratio
0.0,gender,0.9124458288190682,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,cross_ratio
0.0,age,0.7603280940450253,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,cross_ratio
0.0,race/ethnicity,0.8649051934345089,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,cross_ratio
0.0,religion,0.9454958013428739,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,cross_ratio
0.0,political affiliation,0.8940125797520164,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,cross_ratio
1.0,gender,1.1349455453032824,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,same_ratio
1.0,age,1.3075341039258566,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,same_ratio
1.0,race/ethnicity,1.2640412748171368,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,same_ratio
1.0,religion,0.8588741987179487,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,same_ratio
1.0,political affiliation,1.1040626733222407,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,same_ratio
1.0,gender,0.8700284090909091,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,cross_ratio
1.0,age,0.7577147684234968,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,cross_ratio
1.0,race/ethnicity,0.7625675358233498,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,cross_ratio
1.0,religion,1.0725690152451586,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,cross_ratio
1.0,political affiliation,0.8997729700854701,iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,cross_ratio
