graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.15510204081632653,iterative_gpt-4.1_n5_culture_us,
0.0,avg_clustering_coef,0.5887669552669553,iterative_gpt-4.1_n5_culture_us,
0.0,prop_nodes_lcc,0.42,iterative_gpt-4.1_n5_culture_us,
0.0,radius,0.6569174775061022,iterative_gpt-4.1_n5_culture_us,
0.0,diameter,1.3138349550122044,iterative_gpt-4.1_n5_culture_us,
0.0,avg_shortest_path,0.5615080343445016,iterative_gpt-4.1_n5_culture_us,
0.0,modularity,0.5050969529085874,iterative_gpt-4.1_n5_culture_us,
1.0,density,0.19346938775510203,iterative_gpt-4.1_n5_culture_us,
1.0,avg_clustering_coef,0.6546433614545069,iterative_gpt-4.1_n5_culture_us,
1.0,prop_nodes_lcc,0.46,iterative_gpt-4.1_n5_culture_us,
1.0,radius,0.637857977807602,iterative_gpt-4.1_n5_culture_us,
1.0,diameter,0.956786966711403,iterative_gpt-4.1_n5_culture_us,
1.0,avg_shortest_path,0.46767847779964494,iterative_gpt-4.1_n5_culture_us,
1.0,modularity,0.4749951040609588,iterative_gpt-4.1_n5_culture_us,
0.0,degree_centrality,0.2857142857142857,iterative_gpt-4.1_n5_culture_us,28
0.0,degree_centrality,0.26530612244897955,iterative_gpt-4.1_n5_culture_us,5
0.0,degree_centrality,0.12244897959183673,iterative_gpt-4.1_n5_culture_us,46
0.0,degree_centrality,0.22448979591836732,iterative_gpt-4.1_n5_culture_us,22
0.0,degree_centrality,0.24489795918367346,iterative_gpt-4.1_n5_culture_us,15
0.0,degree_centrality,0.3061224489795918,iterative_gpt-4.1_n5_culture_us,7
0.0,degree_centrality,0.22448979591836732,iterative_gpt-4.1_n5_culture_us,37
0.0,degree_centrality,0.12244897959183673,iterative_gpt-4.1_n5_culture_us,10
0.0,degree_centrality,0.24489795918367346,iterative_gpt-4.1_n5_culture_us,32
0.0,degree_centrality,0.18367346938775508,iterative_gpt-4.1_n5_culture_us,34
0.0,degree_centrality,0.2857142857142857,iterative_gpt-4.1_n5_culture_us,44
0.0,degree_centrality,0.3061224489795918,iterative_gpt-4.1_n5_culture_us,42
0.0,degree_centrality,0.32653061224489793,iterative_gpt-4.1_n5_culture_us,13
