graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.1089031234643472,iterative_gpt-4.1_n5_culture_us_lang_hindi,same_ratio
0.0,age,1.6140519559140358,iterative_gpt-4.1_n5_culture_us_lang_hindi,same_ratio
0.0,race/ethnicity,1.4226371270323386,iterative_gpt-4.1_n5_culture_us_lang_hindi,same_ratio
0.0,religion,1.510499701076126,iterative_gpt-4.1_n5_culture_us_lang_hindi,same_ratio
0.0,political affiliation,2.038269550748752,iterative_gpt-4.1_n5_culture_us_lang_hindi,same_ratio
0.0,gender,0.8951109339710376,iterative_gpt-4.1_n5_culture_us_lang_hindi,cross_ratio
0.0,age,0.6393550553084203,iterative_gpt-4.1_n5_culture_us_lang_hindi,cross_ratio
0.0,race/ethnicity,0.6199542113507651,iterative_gpt-4.1_n5_culture_us_lang_hindi,cross_ratio
0.0,religion,0.7374933551944767,iterative_gpt-4.1_n5_culture_us_lang_hindi,cross_ratio
0.0,political affiliation,0.0,iterative_gpt-4.1_n5_culture_us_lang_hindi,cross_ratio
1.0,gender,1.0713980971884467,iterative_gpt-4.1_n5_culture_us_lang_hindi,same_ratio
1.0,age,1.4032073310423825,iterative_gpt-4.1_n5_culture_us_lang_hindi,same_ratio
1.0,race/ethnicity,1.5073312702623047,iterative_gpt-4.1_n5_culture_us_lang_hindi,same_ratio
1.0,religion,1.3213449211045365,iterative_gpt-4.1_n5_culture_us_lang_hindi,same_ratio
1.0,political affiliation,2.038269550748752,iterative_gpt-4.1_n5_culture_us_lang_hindi,same_ratio
1.0,gender,0.9312335634451019,iterative_gpt-4.1_n5_culture_us_lang_hindi,cross_ratio
1.0,age,0.7202199071198807,iterative_gpt-4.1_n5_culture_us_lang_hindi,cross_ratio
1.0,race/ethnicity,0.5437951368183926,iterative_gpt-4.1_n5_culture_us_lang_hindi,cross_ratio
1.0,religion,0.8347595955754176,iterative_gpt-4.1_n5_culture_us_lang_hindi,cross_ratio
1.0,political affiliation,0.0,iterative_gpt-4.1_n5_culture_us_lang_hindi,cross_ratio
