index,condition,method,culture,model,prompt_language,metric_name,demo,_metric_value,std_value,table
0,global_gpt-4.1-mini_culture_us_lang_english,global,us,gpt-4.1-mini,english,cross_ratio,age,0.5552598081947998,0.02154300417819538,homophily
1,global_gpt-4.1-mini_culture_us_lang_english,global,us,gpt-4.1-mini,english,cross_ratio,gender,0.41433601454635105,0.07341179638566875,homophily
2,global_gpt-4.1-mini_culture_us_lang_english,global,us,gpt-4.1-mini,english,cross_ratio,political affiliation,0.13119067430966463,0.05739467717425019,homophily
3,global_gpt-4.1-mini_culture_us_lang_english,global,us,gpt-4.1-mini,english,cross_ratio,race/ethnicity,0.288536076326774,0.005165210536395558,homophily
4,global_gpt-4.1-mini_culture_us_lang_english,global,us,gpt-4.1-mini,english,cross_ratio,religion,0.5452630265284777,0.11221882780014941,homophily
5,global_gpt-4.1-mini_culture_us_lang_english,global,us,gpt-4.1-mini,english,same_ratio,age,1.8740913296325667,0.17745426920142177,homophily
6,global_gpt-4.1-mini_culture_us_lang_english,global,us,gpt-4.1-mini,english,same_ratio,gender,1.608077083066684,0.07622123285300714,homophily
7,global_gpt-4.1-mini_culture_us_lang_english,global,us,gpt-4.1-mini,english,same_ratio,political affiliation,1.9020582682708302,0.059591145685078235,homophily
8,global_gpt-4.1-mini_culture_us_lang_english,global,us,gpt-4.1-mini,english,same_ratio,race/ethnicity,1.791196949602122,0.005744070337887883,homophily
9,global_gpt-4.1-mini_culture_us_lang_english,global,us,gpt-4.1-mini,english,same_ratio,religion,1.8843322392751478,0.21823324925557935,homophily
10,global_gpt-4.1-mini_culture_us_lang_hindi,global,us,gpt-4.1-mini,hindi,cross_ratio,age,0.6059885770551928,0.07450449053227662,homophily
11,global_gpt-4.1-mini_culture_us_lang_hindi,global,us,gpt-4.1-mini,hindi,cross_ratio,gender,0.290695882642998,0.14415407290276788,homophily
12,global_gpt-4.1-mini_culture_us_lang_hindi,global,us,gpt-4.1-mini,hindi,cross_ratio,political affiliation,0.1790557199211045,0.17390015143825974,homophily
13,global_gpt-4.1-mini_culture_us_lang_hindi,global,us,gpt-4.1-mini,hindi,cross_ratio,race/ethnicity,0.218097793679189,0.00147577443897021,homophily
14,global_gpt-4.1-mini_culture_us_lang_hindi,global,us,gpt-4.1-mini,hindi,cross_ratio,religion,0.33362650946087286,0.10471796250813424,homophily
15,global_gpt-4.1-mini_culture_us_lang_hindi,global,us,gpt-4.1-mini,hindi,same_ratio,age,1.8330359503039917,0.040888080461156946,homophily
16,global_gpt-4.1-mini_culture_us_lang_hindi,global,us,gpt-4.1-mini,hindi,same_ratio,gender,1.7364488672724947,0.1496707845113597,homophily
17,global_gpt-4.1-mini_culture_us_lang_hindi,global,us,gpt-4.1-mini,hindi,same_ratio,political affiliation,1.8523614488672726,0.18055523210894167,homophily
18,global_gpt-4.1-mini_culture_us_lang_hindi,global,us,gpt-4.1-mini,hindi,same_ratio,race/ethnicity,1.869529177718833,0.001641162953682286,homophily
19,global_gpt-4.1-mini_culture_us_lang_hindi,global,us,gpt-4.1-mini,hindi,same_ratio,religion,2.295904215976331,0.2036462299737518,homophily
20,global_gpt-4.1-mini_culture_us_lang_japanese,global,us,gpt-4.1-mini,japanese,cross_ratio,age,0.6267147602302622,0.002002759649598899,homophily
21,global_gpt-4.1-mini_culture_us_lang_japanese,global,us,gpt-4.1-mini,japanese,cross_ratio,gender,0.3512279266276359,0.18122258558092072,homophily
22,global_gpt-4.1-mini_culture_us_lang_japanese,global,us,gpt-4.1-mini,japanese,cross_ratio,political affiliation,0.203369789125603,0.03521734456633275,homophily
23,global_gpt-4.1-mini_culture_us_lang_japanese,global,us,gpt-4.1-mini,japanese,cross_ratio,race/ethnicity,0.1857064424668535,0.018454980563442604,homophily
24,global_gpt-4.1-mini_culture_us_lang_japanese,global,us,gpt-4.1-mini,japanese,cross_ratio,religion,0.5918404079894004,0.009620560134931462,homophily
25,global_gpt-4.1-mini_culture_us_lang_japanese,global,us,gpt-4.1-mini,japanese,same_ratio,age,1.6954185828556485,0.23284594826675006,homophily
26,global_gpt-4.1-mini_culture_us_lang_japanese,global,us,gpt-4.1-mini,japanese,same_ratio,gender,1.673600289158661,0.18815789251662987,homophily
27,global_gpt-4.1-mini_culture_us_lang_japanese,global,us,gpt-4.1-mini,japanese,same_ratio,political affiliation,1.8271168911574436,0.03656509652145009,homophily
