index,prompt_language,table,metric_name,demo,_metric_value,std_value
0,english,homophily,cross_ratio,age,0.7489424127443346,0.1627669819291899
1,english,homophily,cross_ratio,gender,0.8419067914938722,0.16979183603637363
2,english,homophily,cross_ratio,political affiliation,0.3253068466215647,0.44305221780203835
3,english,homophily,cross_ratio,race/ethnicity,0.6818208247353578,0.1696750518206277
4,english,homophily,cross_ratio,religion,0.8319667004155336,0.1373326348580959
5,english,homophily,same_ratio,age,1.4658824895496532,0.37666954272684416
6,english,homophily,same_ratio,gender,1.1641433645720862,0.17628969332229144
7,english,homophily,same_ratio,political affiliation,1.7005133572514868,0.4600076271355606
8,english,homophily,same_ratio,race/ethnicity,1.3538371862856797,0.18869035935224984
9,english,homophily,same_ratio,religion,1.3267762965476761,0.26707235961586445
10,hindi,homophily,cross_ratio,age,0.7891883908263084,0.14725436419876015
11,hindi,homophily,cross_ratio,gender,0.7853210803036337,0.2135319624306493
12,hindi,homophily,cross_ratio,political affiliation,0.3145332913542564,0.38592790507781055
13,hindi,homophily,cross_ratio,race/ethnicity,0.6095971051339619,0.1913118526660442
14,hindi,homophily,cross_ratio,religion,0.798068431753138,0.2327954513140533
15,hindi,homophily,same_ratio,age,1.3731518242741034,0.35883039434361264
16,hindi,homophily,same_ratio,gender,1.2228945855083737,0.22170373470336968
17,hindi,homophily,same_ratio,political affiliation,1.7116992116388419,0.40069719262654535
18,hindi,homophily,same_ratio,race/ethnicity,1.4341549434286112,0.21275197408551474
19,hindi,homophily,same_ratio,religion,1.392698650749306,0.45272000027180076
20,japanese,homophily,cross_ratio,age,0.7614907305520248,0.11944864620794328
21,japanese,homophily,cross_ratio,gender,0.8076085644314746,0.1882500984228688
22,japanese,homophily,cross_ratio,political affiliation,0.32065811904132674,0.4221979297162227
23,japanese,homophily,cross_ratio,race/ethnicity,0.6733798379475849,0.2644911051967941
24,japanese,homophily,cross_ratio,religion,0.8655608807012656,0.18116686740698376
25,japanese,homophily,same_ratio,age,1.398906781586249,0.29483046921058886
26,japanese,homophily,same_ratio,gender,1.1997541693756404,0.19545434511792034
27,japanese,homophily,same_ratio,political affiliation,1.7053399895477739,0.43835525481351567
28,japanese,homophily,same_ratio,race/ethnicity,1.3632241457307028,0.29413234974471064
29,japanese,homophily,same_ratio,religion,1.261445306520856,0.3523172974332929
30,spanish,homophily,cross_ratio,age,0.789369305400834,0.12797753939159862
31,spanish,homophily,cross_ratio,gender,0.8473749786770685,0.13746795047348345
32,spanish,homophily,cross_ratio,political affiliation,0.3249554440635584,0.43835090074955363
33,spanish,homophily,cross_ratio,race/ethnicity,0.6714938148455719,0.1314551401049843
34,spanish,homophily,cross_ratio,religion,0.8596245032166469,0.11834777696970843
35,spanish,homophily,same_ratio,age,1.3670872546128594,0.2670194398995964
36,spanish,homophily,same_ratio,gender,1.1584659123219787,0.14272878718045534
37,spanish,homophily,same_ratio,political affiliation,1.70087820782752,0.4551263927915498
38,spanish,homophily,same_ratio,race/ethnicity,1.3653215334907003,0.14618718166847391
39,spanish,homophily,same_ratio,religion,1.2729898483118571,0.23015228742426477
0,english,network,avg_clustering_coef,,0.505043077695782,0.17128551171240972
1,english,network,avg_shortest_path,,0.6954940847250964,0.36314136761162075
2,english,network,density,,0.14727891156462583,0.058396488004981865
3,english,network,diameter,,1.406998415106072,0.9271109215546318
4,english,network,modularity,,0.43357970339055196,0.18747752718273625
5,english,network,prop_nodes_lcc,,0.6808333333333333,0.21931539486374962
6,english,network,radius,,0.8097052283715559,0.4463305178835194
7,hindi,network,avg_clustering_coef,,0.48385625338557364,0.20750910142986373
8,hindi,network,avg_shortest_path,,0.7791372633074194,0.4404320113640104
9,hindi,network,density,,0.14452380952380947,0.06368499451695045
10,hindi,network,diameter,,1.665807913463408,1.2023205276923246
11,hindi,network,modularity,,0.4554999308239743,0.20742685577675335
12,hindi,network,prop_nodes_lcc,,0.7683333333333334,0.2709523048714506
13,hindi,network,radius,,0.9414887767668462,0.5895899300000814
14,japanese,network,avg_clustering_coef,,0.5276964713934306,0.181912745641003
15,japanese,network,avg_shortest_path,,0.6701423718259288,0.2747618842368227
16,japanese,network,density,,0.14598639455782308,0.060718336550188295
17,japanese,network,diameter,,1.3438227886846212,0.6558983727486744
18,japanese,network,modularity,,0.45657076103977046,0.20738440766341754
19,japanese,network,prop_nodes_lcc,,0.6116666666666667,0.23001317485322578
20,japanese,network,radius,,0.770529679602299,0.36018605971576334
21,spanish,network,avg_clustering_coef,,0.5561760422084909,0.08838875227117747
22,spanish,network,avg_shortest_path,,0.5966251333041129,0.17145865116447864
23,spanish,network,density,,0.16374149659863943,0.036336674214196396
24,spanish,network,diameter,,1.186798198985598,0.4314011082973058
25,spanish,network,modularity,,0.4100424451317395,0.18286321589104618
26,spanish,network,prop_nodes_lcc,,0.7125,0.2533457931545162
27,spanish,network,radius,,0.6793703108221916,0.2118577894370629
