graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.15591836734693879,local_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,avg_clustering_coef,0.5768322886264063,local_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,prop_nodes_lcc,0.52,local_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,radius,0.6138553528602697,local_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,diameter,0.9207830292904046,local_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,avg_shortest_path,0.545859067620363,local_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,modularity,0.49998629423535534,local_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,density,0.19428571428571428,local_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,avg_clustering_coef,0.5806781134242435,local_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,prop_nodes_lcc,0.52,local_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,radius,0.6138553528602697,local_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,diameter,0.9207830292904046,local_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,avg_shortest_path,0.4816403537826731,local_gpt-4.1-mini_n5_culture_us_lang_english,
1.0,modularity,0.47613162912223705,local_gpt-4.1-mini_n5_culture_us_lang_english,
0.0,degree_centrality,0.2857142857142857,local_gpt-4.1-mini_n5_culture_us_lang_english,28
0.0,degree_centrality,0.22448979591836732,local_gpt-4.1-mini_n5_culture_us_lang_english,5
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1-mini_n5_culture_us_lang_english,34
0.0,degree_centrality,0.36734693877551017,local_gpt-4.1-mini_n5_culture_us_lang_english,13
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1-mini_n5_culture_us_lang_english,46
0.0,degree_centrality,0.2040816326530612,local_gpt-4.1-mini_n5_culture_us_lang_english,22
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1-mini_n5_culture_us_lang_english,32
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1-mini_n5_culture_us_lang_english,15
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1-mini_n5_culture_us_lang_english,26
0.0,degree_centrality,0.2040816326530612,local_gpt-4.1-mini_n5_culture_us_lang_english,11
0.0,degree_centrality,0.3469387755102041,local_gpt-4.1-mini_n5_culture_us_lang_english,7
0.0,degree_centrality,0.2040816326530612,local_gpt-4.1-mini_n5_culture_us_lang_english,37
0.0,degree_centrality,0.12244897959183673,local_gpt-4.1-mini_n5_culture_us_lang_english,10
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1-mini_n5_culture_us_lang_english,4
0.0,degree_centrality,0.12244897959183673,local_gpt-4.1-mini_n5_culture_us_lang_english,29
0.0,degree_centrality,0.061224489795918366,local_gpt-4.1-mini_n5_culture_us_lang_english,49
0.0,degree_centrality,0.04081632653061224,local_gpt-4.1-mini_n5_culture_us_lang_english,44
0.0,degree_centrality,0.3469387755102041,local_gpt-4.1-mini_n5_culture_us_lang_english,41
0.0,degree_centrality,0.061224489795918366,local_gpt-4.1-mini_n5_culture_us_lang_english,16
0.0,degree_centrality,0.36734693877551017,local_gpt-4.1-mini_n5_culture_us_lang_english,14
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1-mini_n5_culture_us_lang_english,9
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1-mini_n5_culture_us_lang_english,40
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1-mini_n5_culture_us_lang_english,39
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1-mini_n5_culture_us_lang_english,21
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1-mini_n5_culture_us_lang_english,30
0.0,degree_centrality,0.2857142857142857,local_gpt-4.1-mini_n5_culture_us_lang_english,33
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1-mini_n5_culture_us_lang_english,2
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1-mini_n5_culture_us_lang_english,12
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1-mini_n5_culture_us_lang_english,25
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1-mini_n5_culture_us_lang_english,19
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1-mini_n5_culture_us_lang_english,43
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1-mini_n5_culture_us_lang_english,47
0.0,degree_centrality,0.32653061224489793,local_gpt-4.1-mini_n5_culture_us_lang_english,35
0.0,degree_centrality,0.22448979591836732,local_gpt-4.1-mini_n5_culture_us_lang_english,36
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1-mini_n5_culture_us_lang_english,6
0.0,degree_centrality,0.02040816326530612,local_gpt-4.1-mini_n5_culture_us_lang_english,27
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1-mini_n5_culture_us_lang_english,38
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1-mini_n5_culture_us_lang_english,31
0.0,degree_centrality,0.26530612244897955,local_gpt-4.1-mini_n5_culture_us_lang_english,42
0.0,degree_centrality,0.12244897959183673,local_gpt-4.1-mini_n5_culture_us_lang_english,8
0.0,degree_centrality,0.02040816326530612,local_gpt-4.1-mini_n5_culture_us_lang_english,20
0.0,degree_centrality,0.061224489795918366,local_gpt-4.1-mini_n5_culture_us_lang_english,3
0.0,degree_centrality,0.24489795918367346,local_gpt-4.1-mini_n5_culture_us_lang_english,1
0.0,degree_centrality,0.2040816326530612,local_gpt-4.1-mini_n5_culture_us_lang_english,48
0.0,degree_centrality,0.12244897959183673,local_gpt-4.1-mini_n5_culture_us_lang_english,17
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1-mini_n5_culture_us_lang_english,23
0.0,degree_centrality,0.02040816326530612,local_gpt-4.1-mini_n5_culture_us_lang_english,18
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1-mini_n5_culture_us_lang_english,45
0.0,degree_centrality,0.04081632653061224,local_gpt-4.1-mini_n5_culture_us_lang_english,24
