graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.0989748269014008,local_gpt-4.1-nano_n5_culture_india,same_ratio
0.0,age,1.0087573439751691,local_gpt-4.1-nano_n5_culture_india,same_ratio
0.0,race/ethnicity,1.1874304783092324,local_gpt-4.1-nano_n5_culture_india,same_ratio
0.0,religion,1.0991780397022333,local_gpt-4.1-nano_n5_culture_india,same_ratio
0.0,political affiliation,1.136546615855295,local_gpt-4.1-nano_n5_culture_india,same_ratio
0.0,gender,0.9046732837055418,local_gpt-4.1-nano_n5_culture_india,cross_ratio
0.0,age,0.8994536367863728,local_gpt-4.1-nano_n5_culture_india,cross_ratio
0.0,race/ethnicity,0.8314578644661166,local_gpt-4.1-nano_n5_culture_india,cross_ratio
0.0,religion,0.9490011563459467,local_gpt-4.1-nano_n5_culture_india,cross_ratio
0.0,political affiliation,0.8684863523573202,local_gpt-4.1-nano_n5_culture_india,cross_ratio
1.0,gender,1.1636098201592493,local_gpt-4.1-nano_n5_culture_india,same_ratio
1.0,age,1.209661492277916,local_gpt-4.1-nano_n5_culture_india,same_ratio
1.0,race/ethnicity,1.2704782666138195,local_gpt-4.1-nano_n5_culture_india,same_ratio
1.0,religion,1.0379826112584731,local_gpt-4.1-nano_n5_culture_india,same_ratio
1.0,political affiliation,1.2495139008421468,local_gpt-4.1-nano_n5_culture_india,same_ratio
1.0,gender,0.8424206700068769,local_gpt-4.1-nano_n5_culture_india,cross_ratio
1.0,age,0.8861692921680632,local_gpt-4.1-nano_n5_culture_india,cross_ratio
1.0,race/ethnicity,0.7567792331224569,local_gpt-4.1-nano_n5_culture_india,cross_ratio
1.0,religion,0.9804687684999692,local_gpt-4.1-nano_n5_culture_india,cross_ratio
1.0,political affiliation,0.7596829256312014,local_gpt-4.1-nano_n5_culture_india,cross_ratio
