graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.1064891846921796,local_gpt-4.1-nano_n5_culture_japan,same_ratio
0.0,age,1.0824742268041236,local_gpt-4.1-nano_n5_culture_japan,same_ratio
0.0,race/ethnicity,1.1867816091954022,local_gpt-4.1-nano_n5_culture_japan,same_ratio
0.0,religion,0.9955929487179487,local_gpt-4.1-nano_n5_culture_japan,same_ratio
0.0,political affiliation,1.1356073211314477,local_gpt-4.1-nano_n5_culture_japan,same_ratio
0.0,gender,0.8974358974358974,local_gpt-4.1-nano_n5_culture_japan,cross_ratio
0.0,age,0.9470753452139788,local_gpt-4.1-nano_n5_culture_japan,cross_ratio
0.0,race/ethnicity,0.8320413436692506,local_gpt-4.1-nano_n5_culture_japan,cross_ratio
0.0,religion,1.0022661722290893,local_gpt-4.1-nano_n5_culture_japan,cross_ratio
0.0,political affiliation,0.8693910256410255,local_gpt-4.1-nano_n5_culture_japan,cross_ratio
1.0,gender,1.06690671797005,local_gpt-4.1-nano_n5_culture_japan,same_ratio
1.0,age,1.2168438573883162,local_gpt-4.1-nano_n5_culture_japan,same_ratio
1.0,race/ethnicity,1.2457906788793103,local_gpt-4.1-nano_n5_culture_japan,same_ratio
1.0,religion,1.0007418118990383,local_gpt-4.1-nano_n5_culture_japan,same_ratio
1.0,political affiliation,1.2102225457570714,local_gpt-4.1-nano_n5_culture_japan,same_ratio
1.0,gender,0.9355593950320513,local_gpt-4.1-nano_n5_culture_japan,cross_ratio
1.0,age,0.8742558158524412,local_gpt-4.1-nano_n5_culture_japan,cross_ratio
1.0,race/ethnicity,0.7789789244186047,local_gpt-4.1-nano_n5_culture_japan,cross_ratio
1.0,religion,0.9996185491347341,local_gpt-4.1-nano_n5_culture_japan,cross_ratio
1.0,political affiliation,0.7975260416666666,local_gpt-4.1-nano_n5_culture_japan,cross_ratio
