graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.156734693877551,local_gpt-4.1_n5_culture_brazil,
0.0,avg_clustering_coef,0.5616783608548315,local_gpt-4.1_n5_culture_brazil,
0.0,prop_nodes_lcc,0.52,local_gpt-4.1_n5_culture_brazil,
0.0,radius,0.6138553528602697,local_gpt-4.1_n5_culture_brazil,
0.0,diameter,0.9207830292904046,local_gpt-4.1_n5_culture_brazil,
0.0,avg_shortest_path,0.5524698175742427,local_gpt-4.1_n5_culture_brazil,
0.0,modularity,0.49978298611111105,local_gpt-4.1_n5_culture_brazil,
1.0,density,0.18693877551020407,local_gpt-4.1_n5_culture_brazil,
1.0,avg_clustering_coef,0.5993083006044375,local_gpt-4.1_n5_culture_brazil,
1.0,prop_nodes_lcc,0.52,local_gpt-4.1_n5_culture_brazil,
1.0,radius,0.6138553528602697,local_gpt-4.1_n5_culture_brazil,
1.0,diameter,0.9207830292904046,local_gpt-4.1_n5_culture_brazil,
1.0,avg_shortest_path,0.4854179251848902,local_gpt-4.1_n5_culture_brazil,
1.0,modularity,0.4771076066436566,local_gpt-4.1_n5_culture_brazil,
0.0,degree_centrality,0.24489795918367346,local_gpt-4.1_n5_culture_brazil,28
0.0,degree_centrality,0.24489795918367346,local_gpt-4.1_n5_culture_brazil,5
0.0,degree_centrality,0.36734693877551017,local_gpt-4.1_n5_culture_brazil,13
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_brazil,46
0.0,degree_centrality,0.2040816326530612,local_gpt-4.1_n5_culture_brazil,32
0.0,degree_centrality,0.22448979591836732,local_gpt-4.1_n5_culture_brazil,15
0.0,degree_centrality,0.32653061224489793,local_gpt-4.1_n5_culture_brazil,7
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1_n5_culture_brazil,37
0.0,degree_centrality,0.2040816326530612,local_gpt-4.1_n5_culture_brazil,22
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1_n5_culture_brazil,29
0.0,degree_centrality,0.2040816326530612,local_gpt-4.1_n5_culture_brazil,8
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_brazil,34
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_brazil,11
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1_n5_culture_brazil,10
0.0,degree_centrality,0.02040816326530612,local_gpt-4.1_n5_culture_brazil,0
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_brazil,44
0.0,degree_centrality,0.24489795918367346,local_gpt-4.1_n5_culture_brazil,41
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1_n5_culture_brazil,16
0.0,degree_centrality,0.36734693877551017,local_gpt-4.1_n5_culture_brazil,14
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1_n5_culture_brazil,9
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_brazil,12
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_brazil,17
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1_n5_culture_brazil,25
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_brazil,43
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1_n5_culture_brazil,2
0.0,degree_centrality,0.22448979591836732,local_gpt-4.1_n5_culture_brazil,19
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_brazil,47
0.0,degree_centrality,0.3469387755102041,local_gpt-4.1_n5_culture_brazil,35
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_brazil,6
0.0,degree_centrality,0.04081632653061224,local_gpt-4.1_n5_culture_brazil,40
0.0,degree_centrality,0.061224489795918366,local_gpt-4.1_n5_culture_brazil,27
0.0,degree_centrality,0.061224489795918366,local_gpt-4.1_n5_culture_brazil,49
0.0,degree_centrality,0.02040816326530612,local_gpt-4.1_n5_culture_brazil,20
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1_n5_culture_brazil,38
0.0,degree_centrality,0.12244897959183673,local_gpt-4.1_n5_culture_brazil,4
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1_n5_culture_brazil,31
0.0,degree_centrality,0.26530612244897955,local_gpt-4.1_n5_culture_brazil,42
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_brazil,26
0.0,degree_centrality,0.24489795918367346,local_gpt-4.1_n5_culture_brazil,33
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1_n5_culture_brazil,3
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1_n5_culture_brazil,21
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_brazil,48
0.0,degree_centrality,0.061224489795918366,local_gpt-4.1_n5_culture_brazil,45
0.0,degree_centrality,0.26530612244897955,local_gpt-4.1_n5_culture_brazil,36
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1_n5_culture_brazil,23
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1_n5_culture_brazil,39
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_brazil,1
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1_n5_culture_brazil,30
0.0,degree_centrality,0.02040816326530612,local_gpt-4.1_n5_culture_brazil,18
0.0,degree_centrality,0.04081632653061224,local_gpt-4.1_n5_culture_brazil,24
0.0,betweenness_centrality,0.0043036965868598525,local_gpt-4.1_n5_culture_brazil,28
0.0,betweenness_centrality,0.005401684483317135,local_gpt-4.1_n5_culture_brazil,5
0.0,betweenness_centrality,0.06576166180758017,local_gpt-4.1_n5_culture_brazil,13
0.0,betweenness_centrality,0.001601842035515505,local_gpt-4.1_n5_culture_brazil,46
0.0,betweenness_centrality,0.007073375887151398,local_gpt-4.1_n5_culture_brazil,32
0.0,betweenness_centrality,0.0034114836410754777,local_gpt-4.1_n5_culture_brazil,15
0.0,betweenness_centrality,0.030274501575521983,local_gpt-4.1_n5_culture_brazil,7
0.0,betweenness_centrality,0.006470683511499838,local_gpt-4.1_n5_culture_brazil,37
0.0,betweenness_centrality,0.0026070655534941247,local_gpt-4.1_n5_culture_brazil,22
0.0,betweenness_centrality,0.0019288180640221458,local_gpt-4.1_n5_culture_brazil,29
0.0,betweenness_centrality,0.003878158406219631,local_gpt-4.1_n5_culture_brazil,8
0.0,betweenness_centrality,0.0010703794504814913,local_gpt-4.1_n5_culture_brazil,34
0.0,betweenness_centrality,0.0003253195217480932,local_gpt-4.1_n5_culture_brazil,11
0.0,betweenness_centrality,0.018970683511499834,local_gpt-4.1_n5_culture_brazil,10
0.0,betweenness_centrality,0.0,local_gpt-4.1_n5_culture_brazil,0
0.0,betweenness_centrality,0.005414200312159495,local_gpt-4.1_n5_culture_brazil,44
0.0,betweenness_centrality,0.017360682826244055,local_gpt-4.1_n5_culture_brazil,41
0.0,betweenness_centrality,0.001553506017791732,local_gpt-4.1_n5_culture_brazil,16
0.0,betweenness_centrality,0.06190445042485858,local_gpt-4.1_n5_culture_brazil,14
0.0,betweenness_centrality,0.00047831632653061223,local_gpt-4.1_n5_culture_brazil,9
0.0,betweenness_centrality,0.0025482170890334154,local_gpt-4.1_n5_culture_brazil,12
0.0,betweenness_centrality,0.0038844658742617924,local_gpt-4.1_n5_culture_brazil,17
0.0,betweenness_centrality,0.000496031746031746,local_gpt-4.1_n5_culture_brazil,25
0.0,betweenness_centrality,0.0024821833495302886,local_gpt-4.1_n5_culture_brazil,43
0.0,betweenness_centrality,0.002964042759961127,local_gpt-4.1_n5_culture_brazil,2
0.0,betweenness_centrality,0.0052763916922080175,local_gpt-4.1_n5_culture_brazil,19
0.0,betweenness_centrality,0.0015443952306197204,local_gpt-4.1_n5_culture_brazil,47
0.0,betweenness_centrality,0.05052826991602502,local_gpt-4.1_n5_culture_brazil,35
0.0,betweenness_centrality,0.003573453190800129,local_gpt-4.1_n5_culture_brazil,6
0.0,betweenness_centrality,0.0004905808477237049,local_gpt-4.1_n5_culture_brazil,40
0.0,betweenness_centrality,0.01870748299319728,local_gpt-4.1_n5_culture_brazil,27
0.0,betweenness_centrality,0.000992063492063492,local_gpt-4.1_n5_culture_brazil,49
