graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.15428571428571428,local_gpt-4.1_n5_culture_us,
0.0,avg_clustering_coef,0.5685238181151493,local_gpt-4.1_n5_culture_us,
0.0,prop_nodes_lcc,0.52,local_gpt-4.1_n5_culture_us,
0.0,radius,0.6138553528602697,local_gpt-4.1_n5_culture_us,
0.0,diameter,0.9207830292904046,local_gpt-4.1_n5_culture_us,
0.0,avg_shortest_path,0.5619137460797853,local_gpt-4.1_n5_culture_us,
0.0,modularity,0.5030094342263653,local_gpt-4.1_n5_culture_us,
1.0,density,0.18612244897959185,local_gpt-4.1_n5_culture_us,
1.0,avg_clustering_coef,0.5604043637820729,local_gpt-4.1_n5_culture_us,
1.0,prop_nodes_lcc,0.52,local_gpt-4.1_n5_culture_us,
1.0,radius,0.6138553528602697,local_gpt-4.1_n5_culture_us,
1.0,diameter,0.9207830292904046,local_gpt-4.1_n5_culture_us,
1.0,avg_shortest_path,0.48636231803544444,local_gpt-4.1_n5_culture_us,
1.0,modularity,0.47399199753770394,local_gpt-4.1_n5_culture_us,
0.0,degree_centrality,0.22448979591836732,local_gpt-4.1_n5_culture_us,28
0.0,degree_centrality,0.26530612244897955,local_gpt-4.1_n5_culture_us,5
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us,46
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us,22
0.0,degree_centrality,0.32653061224489793,local_gpt-4.1_n5_culture_us,7
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1_n5_culture_us,37
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_us,4
0.0,degree_centrality,0.2040816326530612,local_gpt-4.1_n5_culture_us,32
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us,44
0.0,degree_centrality,0.24489795918367346,local_gpt-4.1_n5_culture_us,15
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1_n5_culture_us,8
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1_n5_culture_us,10
0.0,degree_centrality,0.12244897959183673,local_gpt-4.1_n5_culture_us,11
0.0,degree_centrality,0.36734693877551017,local_gpt-4.1_n5_culture_us,13
0.0,degree_centrality,0.12244897959183673,local_gpt-4.1_n5_culture_us,49
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us,34
0.0,degree_centrality,0.02040816326530612,local_gpt-4.1_n5_culture_us,0
0.0,degree_centrality,0.24489795918367346,local_gpt-4.1_n5_culture_us,41
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_us,16
0.0,degree_centrality,0.3877551020408163,local_gpt-4.1_n5_culture_us,14
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1_n5_culture_us,9
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us,43
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1_n5_culture_us,25
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1_n5_culture_us,12
0.0,degree_centrality,0.22448979591836732,local_gpt-4.1_n5_culture_us,19
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1_n5_culture_us,17
0.0,degree_centrality,0.061224489795918366,local_gpt-4.1_n5_culture_us,2
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us,47
0.0,degree_centrality,0.26530612244897955,local_gpt-4.1_n5_culture_us,36
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us,6
0.0,degree_centrality,0.32653061224489793,local_gpt-4.1_n5_culture_us,35
0.0,degree_centrality,0.04081632653061224,local_gpt-4.1_n5_culture_us,27
0.0,degree_centrality,0.02040816326530612,local_gpt-4.1_n5_culture_us,20
0.0,degree_centrality,0.12244897959183673,local_gpt-4.1_n5_culture_us,38
0.0,degree_centrality,0.1020408163265306,local_gpt-4.1_n5_culture_us,31
0.0,degree_centrality,0.26530612244897955,local_gpt-4.1_n5_culture_us,42
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us,26
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1_n5_culture_us,33
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_us,21
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_us,48
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1_n5_culture_us,3
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1_n5_culture_us,23
0.0,degree_centrality,0.061224489795918366,local_gpt-4.1_n5_culture_us,24
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_us,1
0.0,degree_centrality,0.02040816326530612,local_gpt-4.1_n5_culture_us,18
0.0,degree_centrality,0.12244897959183673,local_gpt-4.1_n5_culture_us,29
0.0,degree_centrality,0.061224489795918366,local_gpt-4.1_n5_culture_us,30
0.0,degree_centrality,0.061224489795918366,local_gpt-4.1_n5_culture_us,39
0.0,degree_centrality,0.04081632653061224,local_gpt-4.1_n5_culture_us,40
0.0,degree_centrality,0.04081632653061224,local_gpt-4.1_n5_culture_us,45
0.0,betweenness_centrality,0.012592120181405896,local_gpt-4.1_n5_culture_us,28
0.0,betweenness_centrality,0.009858884029802398,local_gpt-4.1_n5_culture_us,5
0.0,betweenness_centrality,0.00233843537414966,local_gpt-4.1_n5_culture_us,46
0.0,betweenness_centrality,0.0015528830579850986,local_gpt-4.1_n5_culture_us,22
0.0,betweenness_centrality,0.021877024619371556,local_gpt-4.1_n5_culture_us,7
0.0,betweenness_centrality,0.008757491091674762,local_gpt-4.1_n5_culture_us,37
0.0,betweenness_centrality,0.008752429543245871,local_gpt-4.1_n5_culture_us,4
0.0,betweenness_centrality,0.009398283122772919,local_gpt-4.1_n5_culture_us,32
0.0,betweenness_centrality,0.0009363864593456431,local_gpt-4.1_n5_culture_us,44
0.0,betweenness_centrality,0.0064301911240686755,local_gpt-4.1_n5_culture_us,15
0.0,betweenness_centrality,0.00277474084872044,local_gpt-4.1_n5_culture_us,8
0.0,betweenness_centrality,0.018849206349206348,local_gpt-4.1_n5_culture_us,10
0.0,betweenness_centrality,0.001091269841269841,local_gpt-4.1_n5_culture_us,11
0.0,betweenness_centrality,0.062266156462585036,local_gpt-4.1_n5_culture_us,13
0.0,betweenness_centrality,0.001516439909297052,local_gpt-4.1_n5_culture_us,49
0.0,betweenness_centrality,0.0009778911564625851,local_gpt-4.1_n5_culture_us,34
0.0,betweenness_centrality,0.0,local_gpt-4.1_n5_culture_us,0
0.0,betweenness_centrality,0.013861953511563354,local_gpt-4.1_n5_culture_us,41
0.0,betweenness_centrality,0.007669496369976562,local_gpt-4.1_n5_culture_us,16
0.0,betweenness_centrality,0.07336214247603805,local_gpt-4.1_n5_culture_us,14
0.0,betweenness_centrality,0.0013840655309742943,local_gpt-4.1_n5_culture_us,9
0.0,betweenness_centrality,0.0025103493778463764,local_gpt-4.1_n5_culture_us,43
0.0,betweenness_centrality,0.0008219954648526076,local_gpt-4.1_n5_culture_us,25
0.0,betweenness_centrality,0.011260932944606412,local_gpt-4.1_n5_culture_us,12
0.0,betweenness_centrality,0.004753468847856603,local_gpt-4.1_n5_culture_us,19
0.0,betweenness_centrality,0.012352103539828628,local_gpt-4.1_n5_culture_us,17
0.0,betweenness_centrality,8.503401360544218e-05,local_gpt-4.1_n5_culture_us,2
0.0,betweenness_centrality,0.002303838201947445,local_gpt-4.1_n5_culture_us,47
0.0,betweenness_centrality,0.03212126120289386,local_gpt-4.1_n5_culture_us,36
0.0,betweenness_centrality,0.005282569376957131,local_gpt-4.1_n5_culture_us,6
0.0,betweenness_centrality,0.04205493705418676,local_gpt-4.1_n5_culture_us,35
0.0,betweenness_centrality,0.01870748299319728,local_gpt-4.1_n5_culture_us,27
0.0,betweenness_centrality,0.0,local_gpt-4.1_n5_culture_us,20
0.0,betweenness_centrality,0.000674198250728863,local_gpt-4.1_n5_culture_us,38
0.0,betweenness_centrality,0.0,local_gpt-4.1_n5_culture_us,31
0.0,betweenness_centrality,0.010512836086815677,local_gpt-4.1_n5_culture_us,42
0.0,betweenness_centrality,0.0014030612244897958,local_gpt-4.1_n5_culture_us,26
0.0,betweenness_centrality,0.004399994124633979,local_gpt-4.1_n5_culture_us,33
0.0,betweenness_centrality,0.0019969495734801852,local_gpt-4.1_n5_culture_us,21
0.0,betweenness_centrality,0.007545418961235286,local_gpt-4.1_n5_culture_us,48
0.0,betweenness_centrality,0.0006968065003779289,local_gpt-4.1_n5_culture_us,3
0.0,betweenness_centrality,0.0006968065003779289,local_gpt-4.1_n5_culture_us,23
0.0,betweenness_centrality,0.0007100459231311571,local_gpt-4.1_n5_culture_us,24
0.0,betweenness_centrality,0.0037216672383239002,local_gpt-4.1_n5_culture_us,1
0.0,betweenness_centrality,0.0,local_gpt-4.1_n5_culture_us,18
0.0,betweenness_centrality,0.00026320051830255913,local_gpt-4.1_n5_culture_us,29
0.0,betweenness_centrality,0.0,local_gpt-4.1_n5_culture_us,30
0.0,betweenness_centrality,0.0,local_gpt-4.1_n5_culture_us,39
0.0,betweenness_centrality,0.0,local_gpt-4.1_n5_culture_us,40
0.0,betweenness_centrality,0.0,local_gpt-4.1_n5_culture_us,45
0.0,closeness_centrality,0.2841031149301826,local_gpt-4.1_n5_culture_us,28
0.0,closeness_centrality,0.30845481049562684,local_gpt-4.1_n5_culture_us,5
0.0,closeness_centrality,0.26331508213041316,local_gpt-4.1_n5_culture_us,46
0.0,closeness_centrality,0.2510678690080683,local_gpt-4.1_n5_culture_us,22
0.0,closeness_centrality,0.33737244897959184,local_gpt-4.1_n5_culture_us,7
0.0,closeness_centrality,0.2841031149301826,local_gpt-4.1_n5_culture_us,37
0.0,closeness_centrality,0.27681841967556253,local_gpt-4.1_n5_culture_us,4
0.0,closeness_centrality,0.2917815774958632,local_gpt-4.1_n5_culture_us,32
0.0,closeness_centrality,0.26331508213041316,local_gpt-4.1_n5_culture_us,44
0.0,closeness_centrality,0.2998866213151927,local_gpt-4.1_n5_culture_us,15
0.0,closeness_centrality,0.27681841967556253,local_gpt-4.1_n5_culture_us,8
0.0,closeness_centrality,0.22032486463973347,local_gpt-4.1_n5_culture_us,10
0.0,closeness_centrality,0.2453617810760668,local_gpt-4.1_n5_culture_us,11
0.0,closeness_centrality,0.37227304714989445,local_gpt-4.1_n5_culture_us,13
0.0,closeness_centrality,0.2453617810760668,local_gpt-4.1_n5_culture_us,49
0.0,closeness_centrality,0.2510678690080683,local_gpt-4.1_n5_culture_us,34
0.0,closeness_centrality,0.15205518827249212,local_gpt-4.1_n5_culture_us,0
0.0,closeness_centrality,0.3356605800214823,local_gpt-4.1_n5_culture_us,41
0.0,closeness_centrality,0.29663028001898434,local_gpt-4.1_n5_culture_us,16
0.0,closeness_centrality,0.41145490454246214,local_gpt-4.1_n5_culture_us,14
0.0,closeness_centrality,0.2713851498046027,local_gpt-4.1_n5_culture_us,9
0.0,closeness_centrality,0.277284826974268,local_gpt-4.1_n5_culture_us,43
0.0,closeness_centrality,0.2713851498046027,local_gpt-4.1_n5_culture_us,25
0.0,closeness_centrality,0.31110004977600797,local_gpt-4.1_n5_culture_us,12
0.0,closeness_centrality,0.32705389848246996,local_gpt-4.1_n5_culture_us,19
0.0,closeness_centrality,0.30369290573372204,local_gpt-4.1_n5_culture_us,17
0.0,closeness_centrality,0.25510204081632654,local_gpt-4.1_n5_culture_us,2
0.0,closeness_centrality,0.2834467120181406,local_gpt-4.1_n5_culture_us,47
0.0,closeness_centrality,0.34473248758963043,local_gpt-4.1_n5_culture_us,36
0.0,closeness_centrality,0.28988868274582563,local_gpt-4.1_n5_culture_us,6
0.0,closeness_centrality,0.37515006002400964,local_gpt-4.1_n5_culture_us,35
0.0,closeness_centrality,0.22032486463973347,local_gpt-4.1_n5_culture_us,27
0.0,closeness_centrality,0.15205518827249212,local_gpt-4.1_n5_culture_us,20
0.0,closeness_centrality,0.25704567541302237,local_gpt-4.1_n5_culture_us,38
0.0,closeness_centrality,0.2399092970521542,local_gpt-4.1_n5_culture_us,31
0.0,closeness_centrality,0.30845481049562684,local_gpt-4.1_n5_culture_us,42
0.0,closeness_centrality,0.2510678690080683,local_gpt-4.1_n5_culture_us,26
0.0,closeness_centrality,0.30369290573372204,local_gpt-4.1_n5_culture_us,33
0.0,closeness_centrality,0.30369290573372204,local_gpt-4.1_n5_culture_us,21
0.0,closeness_centrality,0.2603082049146189,local_gpt-4.1_n5_culture_us,48
0.0,closeness_centrality,0.2603082049146189,local_gpt-4.1_n5_culture_us,3
0.0,closeness_centrality,0.2603082049146189,local_gpt-4.1_n5_culture_us,23
0.0,closeness_centrality,0.24529042386185246,local_gpt-4.1_n5_culture_us,24
0.0,closeness_centrality,0.28988868274582563,local_gpt-4.1_n5_culture_us,1
0.0,closeness_centrality,0.20910003345600536,local_gpt-4.1_n5_culture_us,18
0.0,closeness_centrality,0.25704567541302237,local_gpt-4.1_n5_culture_us,29
0.0,closeness_centrality,0.25510204081632654,local_gpt-4.1_n5_culture_us,30
0.0,closeness_centrality,0.24066230265691183,local_gpt-4.1_n5_culture_us,39
0.0,closeness_centrality,0.24066230265691183,local_gpt-4.1_n5_culture_us,40
0.0,closeness_centrality,0.20572745227123107,local_gpt-4.1_n5_culture_us,45
1.0,degree_centrality,0.2040816326530612,local_gpt-4.1_n5_culture_us,27
1.0,degree_centrality,0.08163265306122448,local_gpt-4.1_n5_culture_us,20
