graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.15428571428571428,local_gpt-4.1_n5_culture_us_lang_english,
0.0,avg_clustering_coef,0.5655765639589169,local_gpt-4.1_n5_culture_us_lang_english,
0.0,prop_nodes_lcc,0.52,local_gpt-4.1_n5_culture_us_lang_english,
0.0,radius,0.6138553528602697,local_gpt-4.1_n5_culture_us_lang_english,
0.0,diameter,1.2277107057205394,local_gpt-4.1_n5_culture_us_lang_english,
0.0,avg_shortest_path,0.5732464602864364,local_gpt-4.1_n5_culture_us_lang_english,
0.0,modularity,0.5021276000111978,local_gpt-4.1_n5_culture_us_lang_english,
1.0,density,0.1853061224489796,local_gpt-4.1_n5_culture_us_lang_english,
1.0,avg_clustering_coef,0.5740090628325923,local_gpt-4.1_n5_culture_us_lang_english,
1.0,prop_nodes_lcc,0.52,local_gpt-4.1_n5_culture_us_lang_english,
1.0,radius,0.6138553528602697,local_gpt-4.1_n5_culture_us_lang_english,
1.0,diameter,0.9207830292904046,local_gpt-4.1_n5_culture_us_lang_english,
1.0,avg_shortest_path,0.48825110373655295,local_gpt-4.1_n5_culture_us_lang_english,
1.0,modularity,0.47476178462613283,local_gpt-4.1_n5_culture_us_lang_english,
0.0,degree_centrality,0.26530612244897955,local_gpt-4.1_n5_culture_us_lang_english,28
0.0,degree_centrality,0.2857142857142857,local_gpt-4.1_n5_culture_us_lang_english,5
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_us_lang_english,46
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us_lang_english,22
0.0,degree_centrality,0.18367346938775508,local_gpt-4.1_n5_culture_us_lang_english,32
0.0,degree_centrality,0.22448979591836732,local_gpt-4.1_n5_culture_us_lang_english,15
0.0,degree_centrality,0.3061224489795918,local_gpt-4.1_n5_culture_us_lang_english,7
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us_lang_english,26
0.0,degree_centrality,0.24489795918367346,local_gpt-4.1_n5_culture_us_lang_english,37
0.0,degree_centrality,0.16326530612244897,local_gpt-4.1_n5_culture_us_lang_english,44
0.0,degree_centrality,0.08163265306122448,local_gpt-4.1_n5_culture_us_lang_english,10
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us_lang_english,34
0.0,degree_centrality,0.14285714285714285,local_gpt-4.1_n5_culture_us_lang_english,11
0.0,degree_centrality,0.12244897959183673,local_gpt-4.1_n5_culture_us_lang_english,49
