index,condition,method,culture,model,prompt_language,metric_name,demo,_metric_value,std_value,table
0,global_gpt-4.1-mini_culture_brazil,global,brazil,gpt-4.1-mini,english,cross_ratio,age,0.5898691945399359,0.05920160416529066,homophily
1,global_gpt-4.1-mini_culture_brazil,global,brazil,gpt-4.1-mini,english,cross_ratio,gender,0.47957350773765656,0.07467573633817884,homophily
2,global_gpt-4.1-mini_culture_brazil,global,brazil,gpt-4.1-mini,english,cross_ratio,political affiliation,0.06654715341156014,0.09411188689195134,homophily
3,global_gpt-4.1-mini_culture_brazil,global,brazil,gpt-4.1-mini,english,cross_ratio,race/ethnicity,0.2845804794357518,0.2203620157114138,homophily
4,global_gpt-4.1-mini_culture_brazil,global,brazil,gpt-4.1-mini,english,cross_ratio,religion,0.536540224367295,0.0760097509653489,homophily
5,global_gpt-4.1-mini_culture_brazil,global,brazil,gpt-4.1-mini,english,same_ratio,age,1.853019555805416,0.20473167087207725,homophily
6,global_gpt-4.1-mini_culture_brazil,global,brazil,gpt-4.1-mini,english,same_ratio,gender,1.540342980318972,0.07753354321967337,homophily
7,global_gpt-4.1-mini_culture_brazil,global,brazil,gpt-4.1-mini,english,same_ratio,political affiliation,1.9691756676725234,0.09771350652342367,homophily
8,global_gpt-4.1-mini_culture_brazil,global,brazil,gpt-4.1-mini,english,same_ratio,race/ethnicity,1.7955958461447241,0.24505775885148595,homophily
9,global_gpt-4.1-mini_culture_brazil,global,brazil,gpt-4.1-mini,english,same_ratio,religion,1.9012955732857169,0.1478170397379018,homophily
10,global_gpt-4.1-mini_culture_india,global,india,gpt-4.1-mini,english,cross_ratio,age,0.5988714293680621,0.005215360869295151,homophily
11,global_gpt-4.1-mini_culture_india,global,india,gpt-4.1-mini,english,cross_ratio,gender,0.369469325140733,0.021864148586035987,homophily
12,global_gpt-4.1-mini_culture_india,global,india,gpt-4.1-mini,english,cross_ratio,political affiliation,0.14450636286460775,0.06782348132811153,homophily
13,global_gpt-4.1-mini_culture_india,global,india,gpt-4.1-mini,english,cross_ratio,race/ethnicity,0.1773464500808583,0.14547597145579277,homophily
14,global_gpt-4.1-mini_culture_india,global,india,gpt-4.1-mini,english,cross_ratio,religion,0.5699600961379911,0.033728624765603,homophily
15,global_gpt-4.1-mini_culture_india,global,india,gpt-4.1-mini,english,same_ratio,age,1.8463610445586607,0.07367477461686377,homophily
16,global_gpt-4.1-mini_culture_india,global,india,gpt-4.1-mini,english,same_ratio,gender,1.6546608005194388,0.02270087972992732,homophily
17,global_gpt-4.1-mini_culture_india,global,india,gpt-4.1-mini,english,same_ratio,political affiliation,1.8882329942969793,0.07041905548875466,homophily
18,global_gpt-4.1-mini_culture_india,global,india,gpt-4.1-mini,english,same_ratio,race/ethnicity,1.914847482237666,0.16177931308445928,homophily
19,global_gpt-4.1-mini_culture_india,global,india,gpt-4.1-mini,english,same_ratio,religion,1.8363035630393392,0.06559244575810795,homophily
20,global_gpt-4.1-mini_culture_japan,global,japan,gpt-4.1-mini,english,cross_ratio,age,0.5597513722251755,0.07304653287170339,homophily
21,global_gpt-4.1-mini_culture_japan,global,japan,gpt-4.1-mini,english,cross_ratio,gender,0.4180319484317566,0.000484182187532707,homophily
22,global_gpt-4.1-mini_culture_japan,global,japan,gpt-4.1-mini,english,cross_ratio,political affiliation,0.09483607675315031,0.0430922146904113,homophily
23,global_gpt-4.1-mini_culture_japan,global,japan,gpt-4.1-mini,english,cross_ratio,race/ethnicity,0.337514837376941,0.037005031188546644,homophily
24,global_gpt-4.1-mini_culture_japan,global,japan,gpt-4.1-mini,english,cross_ratio,religion,0.6311430139566087,0.15535964025771484,homophily
25,global_gpt-4.1-mini_culture_japan,global,japan,gpt-4.1-mini,english,same_ratio,age,2.0717742003147563,0.49005227261042766,homophily
26,global_gpt-4.1-mini_culture_japan,global,japan,gpt-4.1-mini,english,same_ratio,gender,1.6042397074518866,0.0005027116223303876,homophily
27,global_gpt-4.1-mini_culture_japan,global,japan,gpt-4.1-mini,english,same_ratio,political affiliation,1.9398041399434844,0.04474133438738174,homophily
28,global_gpt-4.1-mini_culture_japan,global,japan,gpt-4.1-mini,english,same_ratio,race/ethnicity,1.7367291894687464,0.04115214675278016,homophily
29,global_gpt-4.1-mini_culture_japan,global,japan,gpt-4.1-mini,english,same_ratio,religion,1.7173204368007295,0.3021296850204117,homophily
30,global_gpt-4.1-mini_culture_us,global,us,gpt-4.1-mini,english,cross_ratio,age,0.5982726428699008,0.0029824782663915705,homophily
31,global_gpt-4.1-mini_culture_us,global,us,gpt-4.1-mini,english,cross_ratio,gender,0.39123286158893045,0.10549638933855841,homophily
32,global_gpt-4.1-mini_culture_us,global,us,gpt-4.1-mini,english,cross_ratio,political affiliation,0.1639528658647712,0.0975272376259335,homophily
33,global_gpt-4.1-mini_culture_us,global,us,gpt-4.1-mini,english,cross_ratio,race/ethnicity,0.2030062600395861,0.059474758828041895,homophily
34,global_gpt-4.1-mini_culture_us,global,us,gpt-4.1-mini,english,cross_ratio,religion,0.6273354166934182,0.09278721301847727,homophily
35,global_gpt-4.1-mini_culture_us,global,us,gpt-4.1-mini,english,same_ratio,age,1.8102065049723903,0.06347153528994927,homophily
36,global_gpt-4.1-mini_culture_us,global,us,gpt-4.1-mini,english,same_ratio,gender,1.6320643833086645,0.10953368876416052,homophily
37,global_gpt-4.1-mini_culture_us,global,us,gpt-4.1-mini,english,same_ratio,political affiliation,1.8680422823633656,0.10125956119564498,homophily
38,global_gpt-4.1-mini_culture_us,global,us,gpt-4.1-mini,english,same_ratio,race/ethnicity,1.8863120039214945,0.06614003352428782,homophily
