index,method,table,metric_name,demo,_metric_value,std_value
0,global,homophily,cross_ratio,age,0.6286608707037978,0.20527897187416355
1,global,homophily,cross_ratio,gender,0.6078176853906562,0.21456467787915476
2,global,homophily,cross_ratio,political affiliation,0.41245756223172764,0.45009446187500834
3,global,homophily,cross_ratio,race/ethnicity,0.5234268480526474,0.2636203189700984
4,global,homophily,cross_ratio,religion,0.7221109131524747,0.178252941827862
5,global,homophily,same_ratio,age,1.8296903214404143,0.6237234722068061
6,global,homophily,same_ratio,gender,1.4071909556010491,0.2227759717081407
7,global,homophily,same_ratio,political affiliation,1.6100274229074907,0.4673193747254663
8,global,homophily,same_ratio,race/ethnicity,1.5299822120793836,0.29316397540640254
9,global,homophily,same_ratio,religion,1.540414113604923,0.3466505527373566
10,iterative,homophily,cross_ratio,age,0.7068980314176367,0.08485399149907746
11,iterative,homophily,cross_ratio,gender,0.9447001772767262,0.046858756178727146
12,iterative,homophily,cross_ratio,political affiliation,0.275726983069727,0.4080177558512542
13,iterative,homophily,cross_ratio,race/ethnicity,0.7263668593354945,0.06899651708274805
14,iterative,homophily,cross_ratio,religion,0.8529370264386785,0.09643617684450582
15,iterative,homophily,same_ratio,age,1.4257430168534457,0.19454126768275973
16,iterative,homophily,same_ratio,gender,1.0574161220953793,0.04865201972633236
17,iterative,homophily,same_ratio,political affiliation,1.751990619907638,0.4236324120651956
18,iterative,homophily,same_ratio,race/ethnicity,1.3042989236700104,0.0767288853765042
19,iterative,homophily,same_ratio,religion,1.2859950615651659,0.1875405458346281
20,local,homophily,cross_ratio,age,0.8156973296308863,0.07781401867149146
21,local,homophily,cross_ratio,gender,0.8639463972195323,0.026872461590045884
22,local,homophily,cross_ratio,political affiliation,0.2827878296088109,0.41289788296754676
23,local,homophily,cross_ratio,race/ethnicity,0.7346176866263482,0.06890248437345134
24,local,homophily,cross_ratio,religion,0.8350670464215003,0.09490009822070915
25,local,homophily,same_ratio,age,1.323762242672807,0.19371452536768766
26,local,homophily,same_ratio,gender,1.1412603130366252,0.027900858622610065
27,local,homophily,same_ratio,political affiliation,1.7446595579435973,0.42869929945382546
28,local,homophily,same_ratio,race/ethnicity,1.2951234347000096,0.07662431451875186
29,local,homophily,same_ratio,religion,1.3207470178966494,0.18455331601094643
0,global,network,avg_clustering_coef,,0.33050201486966185,0.13517517707237697
1,global,network,avg_shortest_path,,1.2206319425355612,0.3520710474900544
2,global,network,density,,0.055646258503401304,0.01668741530286334
3,global,network,diameter,,2.814574005431146,0.9626631977292415
4,global,network,modularity,,0.6565398436838668,0.14604323812313816
5,global,network,prop_nodes_lcc,,0.64,0.2224246552716836
6,global,network,radius,,1.5181367218653783,0.4788390217117979
7,iterative,network,avg_clustering_coef,,0.6436974714774252,0.03273325676758803
8,iterative,network,avg_shortest_path,,0.5006969126364674,0.0210028874122839
9,iterative,network,density,,0.18210884353741494,0.010026406138908784
10,iterative,network,diameter,,1.0152500219615466,0.17024732000815226
11,iterative,network,modularity,,0.376136466961267,0.17589109985905174
12,iterative,network,prop_nodes_lcc,,0.58,0.19656134827672414
13,iterative,network,radius,,0.6208769196540714,0.07874679808621765
14,local,network,avg_clustering_coef,,0.5136036605714274,0.09836752773106132
15,local,network,avg_shortest_path,,0.5519205686781828,0.06490016047766138
16,local,network,density,,0.1794897959183673,0.00979147239862271
17,local,network,diameter,,1.024890580798226,0.1545847811552971
18,local,network,modularity,,0.38809067616034665,0.14636167042032588
19,local,network,prop_nodes_lcc,,0.7600000000000001,0.2288310214189421
20,local,network,radius,,0.6264554497242992,0.07105800352974709
