method,culture,prompt_language,seed,model_pair,edge_distance
global,us,english,0,gpt-4.1 vs gpt-4.1-mini,0.046122448979591835
global,us,english,1,gpt-4.1 vs gpt-4.1-mini,0.045714285714285714
global,us,english,0,gpt-4.1 vs gpt-4.1-nano,0.06979591836734694
global,us,english,1,gpt-4.1 vs gpt-4.1-nano,0.054285714285714284
global,us,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.05714285714285714
global,us,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.03959183673469388
global,india,english,0,gpt-4.1 vs gpt-4.1-mini,0.03142857142857143
global,india,english,1,gpt-4.1 vs gpt-4.1-mini,0.037142857142857144
global,india,english,0,gpt-4.1 vs gpt-4.1-nano,0.04653061224489796
global,india,english,1,gpt-4.1 vs gpt-4.1-nano,0.04285714285714286
global,india,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.04285714285714286
global,india,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.036734693877551024
global,japan,english,0,gpt-4.1 vs gpt-4.1-mini,0.04693877551020408
global,japan,english,1,gpt-4.1 vs gpt-4.1-mini,0.031020408163265307
global,japan,english,0,gpt-4.1 vs gpt-4.1-nano,0.04979591836734694
global,japan,english,1,gpt-4.1 vs gpt-4.1-nano,0.04122448979591837
global,japan,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.03387755102040816
global,japan,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.03306122448979592
global,brazil,english,0,gpt-4.1 vs gpt-4.1-mini,0.052244897959183675
global,brazil,english,1,gpt-4.1 vs gpt-4.1-mini,0.046122448979591835
global,brazil,english,0,gpt-4.1 vs gpt-4.1-nano,0.07102040816326531
global,brazil,english,1,gpt-4.1 vs gpt-4.1-nano,0.07877551020408163
global,brazil,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.054693877551020405
global,brazil,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.05877551020408163
local,us,english,0,gpt-4.1 vs gpt-4.1-mini,0.08122448979591837
local,us,english,1,gpt-4.1 vs gpt-4.1-mini,0.10081632653061225
local,us,english,0,gpt-4.1 vs gpt-4.1-nano,0.1416326530612245
local,us,english,1,gpt-4.1 vs gpt-4.1-nano,0.1710204081632653
local,us,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.1346938775510204
local,us,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.1657142857142857
local,india,english,0,gpt-4.1 vs gpt-4.1-mini,0.07061224489795918
local,india,english,1,gpt-4.1 vs gpt-4.1-mini,0.11755102040816326
local,india,english,0,gpt-4.1 vs gpt-4.1-nano,0.13591836734693877
local,india,english,1,gpt-4.1 vs gpt-4.1-nano,0.16
local,india,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.13142857142857142
local,india,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.15591836734693879
local,japan,english,0,gpt-4.1 vs gpt-4.1-mini,0.0653061224489796
local,japan,english,1,gpt-4.1 vs gpt-4.1-mini,0.11428571428571428
local,japan,english,0,gpt-4.1 vs gpt-4.1-nano,0.13020408163265307
local,japan,english,1,gpt-4.1 vs gpt-4.1-nano,0.156734693877551
local,japan,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.12775510204081633
local,japan,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.16163265306122448
local,brazil,english,0,gpt-4.1 vs gpt-4.1-mini,0.07142857142857142
local,brazil,english,1,gpt-4.1 vs gpt-4.1-mini,0.10612244897959183
local,brazil,english,0,gpt-4.1 vs gpt-4.1-nano,0.13959183673469389
local,brazil,english,1,gpt-4.1 vs gpt-4.1-nano,0.16448979591836735
local,brazil,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.13918367346938776
local,brazil,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.15306122448979592
iterative,us,english,0,gpt-4.1 vs gpt-4.1-mini,0.07061224489795918
iterative,us,english,1,gpt-4.1 vs gpt-4.1-mini,0.09061224489795919
iterative,us,english,0,gpt-4.1 vs gpt-4.1-nano,0.12571428571428572
