condition,seed,graph_exists,png_exists,png_ok,homophily_ok,network_metrics_ok,metrics_have_required_scalars,cost_stats_ok,node_count,edge_count,node_count_ok,edge_count_ok
global_gpt-4.1-nano_culture_us,0,True,True,True,True,True,True,True,50,88,True,True
global_gpt-4.1-nano_culture_us,1,True,True,True,True,True,True,True,50,46,True,True
global_gpt-4.1-mini_culture_us,0,True,True,True,True,True,True,True,50,62,True,True
global_gpt-4.1-mini_culture_us,1,True,True,True,True,True,True,True,50,59,True,True
global_gpt-4.1_culture_us,0,True,True,True,True,True,True,True,50,85,True,True
global_gpt-4.1_culture_us,1,True,True,True,True,True,True,True,50,91,True,True
global_gpt-4.1-nano_culture_india,0,True,True,True,True,True,True,True,50,64,True,True
global_gpt-4.1-nano_culture_india,1,True,True,True,True,True,True,True,50,45,True,True
global_gpt-4.1-mini_culture_india,0,True,True,True,True,True,True,True,50,61,True,True
global_gpt-4.1-mini_culture_india,1,True,True,True,True,True,True,True,50,51,True,True
global_gpt-4.1_culture_india,0,True,True,True,True,True,True,True,50,66,True,True
global_gpt-4.1_culture_india,1,True,True,True,True,True,True,True,50,66,True,True
global_gpt-4.1-nano_culture_japan,0,True,True,True,True,True,True,True,50,24,True,True
global_gpt-4.1-nano_culture_japan,1,True,True,True,True,True,True,True,50,40,True,True
global_gpt-4.1-mini_culture_japan,0,True,True,True,True,True,True,True,50,61,True,True
global_gpt-4.1-mini_culture_japan,1,True,True,True,True,True,True,True,50,47,True,True
global_gpt-4.1_culture_japan,0,True,True,True,True,True,True,True,50,102,True,True
global_gpt-4.1_culture_japan,1,True,True,True,True,True,True,True,50,65,True,True
global_gpt-4.1-nano_culture_brazil,0,True,True,True,True,True,True,True,50,71,True,True
global_gpt-4.1-nano_culture_brazil,1,True,True,True,True,True,True,True,50,91,True,True
global_gpt-4.1-mini_culture_brazil,0,True,True,True,True,True,True,True,50,69,True,True
global_gpt-4.1-mini_culture_brazil,1,True,True,True,True,True,True,True,50,59,True,True
global_gpt-4.1_culture_brazil,0,True,True,True,True,True,True,True,50,113,True,True
global_gpt-4.1_culture_brazil,1,True,True,True,True,True,True,True,50,110,True,True
local_gpt-4.1-nano_n5_culture_us,0,True,True,True,True,True,True,True,50,216,True,True
