graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.1371398546282512,sequential_gpt-4.1-mini_n5_culture_us_lang_english,same_ratio
0.0,age,1.3958220293000543,sequential_gpt-4.1-mini_n5_culture_us_lang_english,same_ratio
0.0,race/ethnicity,1.3784029038112522,sequential_gpt-4.1-mini_n5_culture_us_lang_english,same_ratio
0.0,religion,1.4413588056680162,sequential_gpt-4.1-mini_n5_culture_us_lang_english,same_ratio
0.0,political affiliation,2.038269550748752,sequential_gpt-4.1-mini_n5_culture_us_lang_english,same_ratio
0.0,gender,0.867914979757085,sequential_gpt-4.1-mini_n5_culture_us_lang_english,cross_ratio
0.0,age,0.747691062011036,sequential_gpt-4.1-mini_n5_culture_us_lang_english,cross_ratio
0.0,race/ethnicity,0.6597307221542228,sequential_gpt-4.1-mini_n5_culture_us_lang_english,cross_ratio
0.0,religion,0.7730466462819595,sequential_gpt-4.1-mini_n5_culture_us_lang_english,cross_ratio
0.0,political affiliation,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_english,cross_ratio
1.0,gender,1.111783391317501,sequential_gpt-4.1-mini_n5_culture_us_lang_english,same_ratio
1.0,age,1.1845256690617516,sequential_gpt-4.1-mini_n5_culture_us_lang_english,same_ratio
1.0,race/ethnicity,1.3806165099268546,sequential_gpt-4.1-mini_n5_culture_us_lang_english,same_ratio
1.0,religion,1.4149912587412588,sequential_gpt-4.1-mini_n5_culture_us_lang_english,same_ratio
1.0,political affiliation,2.038269550748752,sequential_gpt-4.1-mini_n5_culture_us_lang_english,same_ratio
1.0,gender,0.8923368298368298,sequential_gpt-4.1-mini_n5_culture_us_lang_english,cross_ratio
1.0,age,0.8759240329070926,sequential_gpt-4.1-mini_n5_culture_us_lang_english,cross_ratio
1.0,race/ethnicity,0.6577401926239136,sequential_gpt-4.1-mini_n5_culture_us_lang_english,cross_ratio
1.0,religion,0.7866052365434317,sequential_gpt-4.1-mini_n5_culture_us_lang_english,cross_ratio
1.0,political affiliation,0.0,sequential_gpt-4.1-mini_n5_culture_us_lang_english,cross_ratio
