graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.15183673469387754,sequential_gpt-4.1_n5_culture_us_lang_japanese,
0.0,avg_clustering_coef,0.5992534720181779,sequential_gpt-4.1_n5_culture_us_lang_japanese,
0.0,prop_nodes_lcc,0.54,sequential_gpt-4.1_n5_culture_us_lang_japanese,
0.0,radius,0.9102392266268374,sequential_gpt-4.1_n5_culture_us_lang_japanese,
0.0,diameter,1.8204784532536749,sequential_gpt-4.1_n5_culture_us_lang_japanese,
0.0,avg_shortest_path,0.6267079195673856,sequential_gpt-4.1_n5_culture_us_lang_japanese,
0.0,modularity,0.5168950167649439,sequential_gpt-4.1_n5_culture_us_lang_japanese,
1.0,density,0.18693877551020407,sequential_gpt-4.1_n5_culture_us_lang_japanese,
1.0,avg_clustering_coef,0.635537563743446,sequential_gpt-4.1_n5_culture_us_lang_japanese,
1.0,prop_nodes_lcc,0.52,sequential_gpt-4.1_n5_culture_us_lang_japanese,
1.0,radius,0.6138553528602697,sequential_gpt-4.1_n5_culture_us_lang_japanese,
1.0,diameter,0.9207830292904046,sequential_gpt-4.1_n5_culture_us_lang_japanese,
1.0,avg_shortest_path,0.4958062465409871,sequential_gpt-4.1_n5_culture_us_lang_japanese,
1.0,modularity,0.48069258786064334,sequential_gpt-4.1_n5_culture_us_lang_japanese,
0.0,degree_centrality,0.22448979591836732,sequential_gpt-4.1_n5_culture_us_lang_japanese,28
0.0,degree_centrality,0.36734693877551017,sequential_gpt-4.1_n5_culture_us_lang_japanese,13
0.0,degree_centrality,0.14285714285714285,sequential_gpt-4.1_n5_culture_us_lang_japanese,46
0.0,degree_centrality,0.12244897959183673,sequential_gpt-4.1_n5_culture_us_lang_japanese,4
0.0,degree_centrality,0.1020408163265306,sequential_gpt-4.1_n5_culture_us_lang_japanese,11
0.0,degree_centrality,0.24489795918367346,sequential_gpt-4.1_n5_culture_us_lang_japanese,37
0.0,degree_centrality,0.18367346938775508,sequential_gpt-4.1_n5_culture_us_lang_japanese,44
0.0,degree_centrality,0.16326530612244897,sequential_gpt-4.1_n5_culture_us_lang_japanese,22
0.0,degree_centrality,0.16326530612244897,sequential_gpt-4.1_n5_culture_us_lang_japanese,8
0.0,degree_centrality,0.26530612244897955,sequential_gpt-4.1_n5_culture_us_lang_japanese,5
0.0,degree_centrality,0.24489795918367346,sequential_gpt-4.1_n5_culture_us_lang_japanese,15
0.0,degree_centrality,0.18367346938775508,sequential_gpt-4.1_n5_culture_us_lang_japanese,32
0.0,degree_centrality,0.18367346938775508,sequential_gpt-4.1_n5_culture_us_lang_japanese,29
0.0,degree_centrality,0.16326530612244897,sequential_gpt-4.1_n5_culture_us_lang_japanese,34
0.0,degree_centrality,0.061224489795918366,sequential_gpt-4.1_n5_culture_us_lang_japanese,10
0.0,degree_centrality,0.26530612244897955,sequential_gpt-4.1_n5_culture_us_lang_japanese,41
0.0,degree_centrality,0.12244897959183673,sequential_gpt-4.1_n5_culture_us_lang_japanese,16
0.0,degree_centrality,0.36734693877551017,sequential_gpt-4.1_n5_culture_us_lang_japanese,14
0.0,degree_centrality,0.08163265306122448,sequential_gpt-4.1_n5_culture_us_lang_japanese,9
0.0,degree_centrality,0.16326530612244897,sequential_gpt-4.1_n5_culture_us_lang_japanese,21
0.0,degree_centrality,0.2040816326530612,sequential_gpt-4.1_n5_culture_us_lang_japanese,48
0.0,degree_centrality,0.18367346938775508,sequential_gpt-4.1_n5_culture_us_lang_japanese,43
0.0,degree_centrality,0.22448979591836732,sequential_gpt-4.1_n5_culture_us_lang_japanese,33
0.0,degree_centrality,0.08163265306122448,sequential_gpt-4.1_n5_culture_us_lang_japanese,2
0.0,degree_centrality,0.24489795918367346,sequential_gpt-4.1_n5_culture_us_lang_japanese,19
0.0,degree_centrality,0.12244897959183673,sequential_gpt-4.1_n5_culture_us_lang_japanese,47
0.0,degree_centrality,0.32653061224489793,sequential_gpt-4.1_n5_culture_us_lang_japanese,35
0.0,degree_centrality,0.2040816326530612,sequential_gpt-4.1_n5_culture_us_lang_japanese,36
0.0,degree_centrality,0.16326530612244897,sequential_gpt-4.1_n5_culture_us_lang_japanese,6
0.0,degree_centrality,0.02040816326530612,sequential_gpt-4.1_n5_culture_us_lang_japanese,27
0.0,degree_centrality,0.02040816326530612,sequential_gpt-4.1_n5_culture_us_lang_japanese,20
0.0,degree_centrality,0.14285714285714285,sequential_gpt-4.1_n5_culture_us_lang_japanese,38
0.0,degree_centrality,0.1020408163265306,sequential_gpt-4.1_n5_culture_us_lang_japanese,31
0.0,degree_centrality,0.26530612244897955,sequential_gpt-4.1_n5_culture_us_lang_japanese,42
0.0,degree_centrality,0.1020408163265306,sequential_gpt-4.1_n5_culture_us_lang_japanese,26
0.0,degree_centrality,0.3061224489795918,sequential_gpt-4.1_n5_culture_us_lang_japanese,7
0.0,degree_centrality,0.061224489795918366,sequential_gpt-4.1_n5_culture_us_lang_japanese,40
0.0,degree_centrality,0.14285714285714285,sequential_gpt-4.1_n5_culture_us_lang_japanese,17
0.0,degree_centrality,0.16326530612244897,sequential_gpt-4.1_n5_culture_us_lang_japanese,1
0.0,degree_centrality,0.08163265306122448,sequential_gpt-4.1_n5_culture_us_lang_japanese,45
0.0,degree_centrality,0.08163265306122448,sequential_gpt-4.1_n5_culture_us_lang_japanese,23
0.0,degree_centrality,0.04081632653061224,sequential_gpt-4.1_n5_culture_us_lang_japanese,24
0.0,degree_centrality,0.12244897959183673,sequential_gpt-4.1_n5_culture_us_lang_japanese,3
0.0,degree_centrality,0.14285714285714285,sequential_gpt-4.1_n5_culture_us_lang_japanese,12
0.0,degree_centrality,0.02040816326530612,sequential_gpt-4.1_n5_culture_us_lang_japanese,18
0.0,degree_centrality,0.061224489795918366,sequential_gpt-4.1_n5_culture_us_lang_japanese,49
0.0,degree_centrality,0.061224489795918366,sequential_gpt-4.1_n5_culture_us_lang_japanese,39
0.0,degree_centrality,0.02040816326530612,sequential_gpt-4.1_n5_culture_us_lang_japanese,30
0.0,degree_centrality,0.04081632653061224,sequential_gpt-4.1_n5_culture_us_lang_japanese,25
0.0,degree_centrality,0.02040816326530612,sequential_gpt-4.1_n5_culture_us_lang_japanese,0
0.0,betweenness_centrality,0.0079430879494655,sequential_gpt-4.1_n5_culture_us_lang_japanese,28
0.0,betweenness_centrality,0.03223531476082497,sequential_gpt-4.1_n5_culture_us_lang_japanese,13
0.0,betweenness_centrality,0.00047915991793542813,sequential_gpt-4.1_n5_culture_us_lang_japanese,46
0.0,betweenness_centrality,0.0009622003563330093,sequential_gpt-4.1_n5_culture_us_lang_japanese,4
0.0,betweenness_centrality,0.0003543083900226757,sequential_gpt-4.1_n5_culture_us_lang_japanese,11
0.0,betweenness_centrality,0.006988817352337759,sequential_gpt-4.1_n5_culture_us_lang_japanese,37
0.0,betweenness_centrality,0.0008840837922470574,sequential_gpt-4.1_n5_culture_us_lang_japanese,44
0.0,betweenness_centrality,0.00158055285606306,sequential_gpt-4.1_n5_culture_us_lang_japanese,22
0.0,betweenness_centrality,0.0013375985314760823,sequential_gpt-4.1_n5_culture_us_lang_japanese,8
0.0,betweenness_centrality,0.009055447575855738,sequential_gpt-4.1_n5_culture_us_lang_japanese,5
0.0,betweenness_centrality,0.004036416153763092,sequential_gpt-4.1_n5_culture_us_lang_japanese,15
0.0,betweenness_centrality,0.0031445713205917286,sequential_gpt-4.1_n5_culture_us_lang_japanese,32
0.0,betweenness_centrality,0.002496355685131195,sequential_gpt-4.1_n5_culture_us_lang_japanese,29
0.0,betweenness_centrality,0.0034757653061224486,sequential_gpt-4.1_n5_culture_us_lang_japanese,34
0.0,betweenness_centrality,0.0,sequential_gpt-4.1_n5_culture_us_lang_japanese,10
0.0,betweenness_centrality,0.020523904006046867,sequential_gpt-4.1_n5_culture_us_lang_japanese,41
0.0,betweenness_centrality,0.0014101473922902494,sequential_gpt-4.1_n5_culture_us_lang_japanese,16
0.0,betweenness_centrality,0.07362292139077851,sequential_gpt-4.1_n5_culture_us_lang_japanese,14
0.0,betweenness_centrality,0.00017006802721088437,sequential_gpt-4.1_n5_culture_us_lang_japanese,9
0.0,betweenness_centrality,0.003296417773458589,sequential_gpt-4.1_n5_culture_us_lang_japanese,21
0.0,betweenness_centrality,0.005632153655112839,sequential_gpt-4.1_n5_culture_us_lang_japanese,48
0.0,betweenness_centrality,0.003998960695389266,sequential_gpt-4.1_n5_culture_us_lang_japanese,43
0.0,betweenness_centrality,0.011297713529856384,sequential_gpt-4.1_n5_culture_us_lang_japanese,33
0.0,betweenness_centrality,0.0,sequential_gpt-4.1_n5_culture_us_lang_japanese,2
0.0,betweenness_centrality,0.010205431378900768,sequential_gpt-4.1_n5_culture_us_lang_japanese,19
0.0,betweenness_centrality,0.0006660997732426303,sequential_gpt-4.1_n5_culture_us_lang_japanese,47
0.0,betweenness_centrality,0.05973032069970845,sequential_gpt-4.1_n5_culture_us_lang_japanese,35
0.0,betweenness_centrality,0.043466553287981866,sequential_gpt-4.1_n5_culture_us_lang_japanese,36
0.0,betweenness_centrality,0.00798813573048267,sequential_gpt-4.1_n5_culture_us_lang_japanese,6
0.0,betweenness_centrality,0.0,sequential_gpt-4.1_n5_culture_us_lang_japanese,27
0.0,betweenness_centrality,0.0,sequential_gpt-4.1_n5_culture_us_lang_japanese,20
0.0,betweenness_centrality,0.001544784580498866,sequential_gpt-4.1_n5_culture_us_lang_japanese,38
0.0,betweenness_centrality,0.00017006802721088437,sequential_gpt-4.1_n5_culture_us_lang_japanese,31
0.0,betweenness_centrality,0.010395914318108193,sequential_gpt-4.1_n5_culture_us_lang_japanese,42
0.0,betweenness_centrality,0.0008731171039844508,sequential_gpt-4.1_n5_culture_us_lang_japanese,26
0.0,betweenness_centrality,0.014933592484612894,sequential_gpt-4.1_n5_culture_us_lang_japanese,7
0.0,betweenness_centrality,0.0,sequential_gpt-4.1_n5_culture_us_lang_japanese,40
0.0,betweenness_centrality,0.0032582874419609113,sequential_gpt-4.1_n5_culture_us_lang_japanese,17
0.0,betweenness_centrality,0.004702515927005722,sequential_gpt-4.1_n5_culture_us_lang_japanese,1
0.0,betweenness_centrality,0.00036713097937587734,sequential_gpt-4.1_n5_culture_us_lang_japanese,45
0.0,betweenness_centrality,0.000767668178382464,sequential_gpt-4.1_n5_culture_us_lang_japanese,23
0.0,betweenness_centrality,0.0,sequential_gpt-4.1_n5_culture_us_lang_japanese,24
0.0,betweenness_centrality,0.042434334845049125,sequential_gpt-4.1_n5_culture_us_lang_japanese,3
0.0,betweenness_centrality,0.0032299427707590976,sequential_gpt-4.1_n5_culture_us_lang_japanese,12
0.0,betweenness_centrality,0.0,sequential_gpt-4.1_n5_culture_us_lang_japanese,18
